year,country_index,population,gdp,temperature_change_from_co2,cement_co2_lag_1,coal_co2_lag_1,flaring_co2_lag_1,gas_co2_lag_1,land_use_change_co2_lag_1,oil_co2_lag_1,co2_including_luc
1929,Argentina,0.00704124201917022,0.007595733288817041,0.026490066225165563,0.00024676283326277907,0.0016887601230813393,0.0,0.0002527962930019687,0.18971599173921108,0.001600584306352074,0.057194807326299946
1930,Argentina,0.007256265971806528,0.007273971008106973,0.026490066225165563,0.00037014424989416855,0.0016963028710960675,0.0,0.00038983401412424814,0.1900367123619125,0.0016544520286148508,0.05079445974227846
1931,Argentina,0.007455010819298834,0.006755676858541157,0.026490066225165563,0.0004020532369540107,0.0016551235440967398,0.0,0.00038642935024543377,0.17061565774319046,0.0015863252034001621,0.046616573102526
1932,Argentina,0.00763658901010027,0.006527087890055507,0.026490066225165563,0.0005637254380572108,0.0014162019042788584,0.0,0.00048005760691282955,0.15781159733891198,0.0020069687404815537,0.044322672593937386
1933,Argentina,0.007800079643160924,0.006839474145450635,0.026490066225165563,0.0005254346535854002,0.0012906253427363542,0.0,0.0006545466307020673,0.15069444134324292,0.002278287782760982,0.042756313670677684
1934,Argentina,0.00796645425029146,0.007399490144270745,0.026490066225165563,0.0005403255142133266,0.0012147901464801664,0.0,0.0008801056126735209,0.14585196591592328,0.002370575865755299,0.04175536304643798
1935,Argentina,0.008135763613689695,0.0077341152907233444,0.026490066225165563,0.0005956344251170529,0.0013415898563493836,0.0,0.0010631062961597947,0.14238249953414314,0.0024280083637560537,0.04081270604438469
1936,Argentina,0.00830806003143994,0.007788608246761548,0.026490066225165563,0.0007573066262202529,0.001291848491063067,0.0,0.0008988312640070001,0.13959913169966096,0.0024751426207359835,0.04023322229217162
1937,Argentina,0.008483395043683263,0.008368686234448398,0.026490066225165563,0.0008743062454396739,0.0014243562264569431,0.0,0.0007762633643696819,0.13738128769735988,0.002687840906435331,0.0398503965227788
1938,Argentina,0.00866182246439048,0.008405933252418915,0.033112582781456956,0.001089160091642611,0.0016630740082203721,0.0,0.0007362585637936128,0.13555521002532067,0.0028423145217477065,0.03939679512553777
1939,Argentina,0.008846894015635565,0.008732281899009015,0.033112582781456956,0.0013061412036495374,0.0015077341707278589,0.0,0.0007141282485813191,0.1343157669099948,0.0029698542759286936,0.039087002367995824
1940,Argentina,0.009038793877628501,0.008879127873822584,0.033112582781456956,0.001182759787018148,0.0015827539347662383,0.0,0.0007549842151270919,0.13295047139841903,0.003236420283890818,0.03537055157584658
1941,Argentina,0.009237711536182023,0.009345434245125649,0.033112582781456956,0.0011359599393303795,0.0010945138943534174,0.0,0.0007796680282484963,0.12220267675867558,0.003582599616667782,0.03296829663513013
1942,Argentina,0.00944384026682513,0.009456554344015496,0.033112582781456956,0.0012295596347059162,0.0005475627342583869,0.0,0.0008639334592491524,0.11563886533103442,0.0038269847978158224,0.031342980153212636
1943,Argentina,0.009657379408632817,0.009379998895607516,0.033112582781456956,0.001129578141918411,0.00028234340541618235,0.0,0.0009822455290379526,0.11085728622448088,0.004122861184067988,0.030189456927851754
1944,Argentina,0.00987503494023644,0.010467638398803566,0.033112582781456956,0.001004069459483032,0.0003157761263463296,0.0,0.000985650192916767,0.10708780396905979,0.004316547332498119,0.029155840629220563
1945,Argentina,0.010096887203620598,0.0101218447632409,0.033112582781456956,0.0011359599393303795,0.0003361619317915413,0.0,0.0009635198777044735,0.10397843783074313,0.004213168836096761,0.028255808348629327
1946,Argentina,0.010323016540769892,0.011044035744814013,0.033112582781456956,0.0011444690025463374,0.00041688972135457973,0.0,0.000886063774461446,0.10134284506798667,0.003977893637390219,0.027511269989633297
1947,Argentina,0.010553504809555426,0.012291441833428056,0.033112582781456956,0.0011976506476460741,0.0006199323435888885,0.0,0.0008230774927033798,0.0990519254807663,0.0036166630292751266,0.02696445191181171
1948,Argentina,0.010788437657564558,0.012986746924428543,0.033112582781456956,0.0014316498860849165,0.0006633541091871895,0.0,0.0008486124717944877,0.09705006042944897,0.0037988626781051073,0.02676513818310598
1949,Argentina,0.011026083184468858,0.012805885270833818,0.033112582781456956,0.0013146502668654953,0.0011854345866390617,0.0,0.0006519931327929564,0.09527269981402263,0.004037306566356517,0.025940927447545368
1950,Argentina,0.011266464128565851,0.012967996455849675,0.033112582781456956,0.0015231223156564637,0.0007334812799187178,0.0,0.0009669245415832878,0.09357572234200753,0.0039271946046723115,0.0305380235753218
1951,Argentina,0.011521789439741916,0.013481430544710609,0.033112582781456956,0.0016550127955038112,0.0007259385319039895,0.0,0.0,0.10172121420767999,0.010132676992105606,0.03258055773584916
1952,Argentina,0.011778915624082249,0.012783450996476526,0.033112582781456956,0.0016379946690718954,0.001115103557853081,0.0,0.0012069533450397027,0.1059190005858226,0.01081473741663871,0.03373288587556158
1953,Argentina,0.012035776528284747,0.013480462329492057,0.033112582781456956,0.001631612871659927,0.0009187882514156922,0.0,0.0013065397634950237,0.10898208552035703,0.011599780251380063,0.034305331901178106
1954,Argentina,0.012290824432230963,0.014046043983767825,0.033112582781456956,0.0017401034276633902,0.000634813981563893,0.0,0.0010162921678260966,0.11112238820754927,0.011885754482804512,0.03502596854720476
1955,Argentina,0.012542034111554344,0.015061570437793954,0.033112582781456956,0.001793285072763127,0.0007587596786707803,0.0,0.0010290596573716507,0.11266996670595156,0.01226916591773369,0.03582176280179067
1956,Argentina,0.012792546483086848,0.015480043496788373,0.033112582781456956,0.001963466337082285,0.0006543843547912963,0.0,0.0010443806448263155,0.11396218663260801,0.013546147804315994,0.036820456042027716
1957,Argentina,0.013044632344808333,0.01628791942745552,0.033112582781456956,0.0021719383858732535,0.0007775146196803751,0.0,0.0011099204244934926,0.11509282832149846,0.015113460870446937,0.037504974544011756
1958,Argentina,0.01329594055675434,0.017298397556706493,0.033112582781456956,0.002488900990667685,0.0006849630629591139,0.0,0.0012409999838278467,0.11584104111597784,0.016484711270989102,0.03729915423788658
1959,Argentina,0.013545432736671059,0.0161642251871326,0.039735099337748346,0.0025973915466711486,0.0007707873038834553,0.0,0.0012597256351613258,0.11659859134630803,0.01493641034212737,0.03824871617924214
1960,Argentina,0.013791931040746505,0.017443629839489144,0.039735099337748346,0.002488900990667685,0.0007603905431063972,0.0,0.0012537674733734006,0.11757049662573485,0.016863765757794084,0.03589439745175871
1961,Argentina,0.014042742041919886,0.018707008315107257,0.039735099337748346,0.002776081874206264,0.0007962695606899699,0.0,0.002011305186409603,0.11044725099798919,0.0163151863803386,0.04045006394372156
1962,Argentina,0.014300219911928662,0.018401367134196267,0.039735099337748346,0.0030547536945288853,0.0007214536547060429,0.0,0.0034301988579055025,0.12341654341927968,0.016683546539929647,0.04125170083925554
1963,Argentina,0.014560690141892206,0.017953097726466243,0.039735099337748346,0.00307602635256878,0.00040934697333985137,0.0,0.004347755773245981,0.12484720098181107,0.01785477341295194,0.04100139678954848
