year_range,country_index,country_t-2,population_t-2,gdp_t-2,cement_co2_t-2,coal_co2_t-2,flaring_co2_t-2,gas_co2_t-2,land_use_change_co2_t-2,oil_co2_t-2,cumulative_co2_including_luc_t-2,co2_including_luc_t-2,country_t-1,population_t-1,gdp_t-1,cement_co2_t-1,coal_co2_t-1,flaring_co2_t-1,gas_co2_t-1,land_use_change_co2_t-1,oil_co2_t-1,cumulative_co2_including_luc_t-1,co2_including_luc_t-1,co2_including_luc_t+1
1981-1981,Canada,Canada,24219116.0,625737072640.0,5.833,76.028,2.95,112.573,257.286,244.294,44536.441,698.962,Canada,24511512.0,634113622016.0,5.208,81.172,3.133,112.041,261.279,241.294,45240.57,704.126,687.257
1982-1982,Canada,Canada,24511512.0,634113622016.0,5.208,81.172,3.133,112.041,261.279,241.294,45240.57,704.126,Canada,24815780.0,653774422016.0,5.034,83.689,2.972,110.026,257.627,227.908,45927.824,687.257,660.571
1983-1983,Canada,Canada,24815780.0,653774422016.0,5.034,83.689,2.972,110.026,257.627,227.908,45927.824,687.257,Canada,25101514.0,633852985344.0,4.182,88.445,2.862,110.326,246.116,208.641,46588.398,660.571,648.19
1984-1984,Canada,Canada,25101514.0,633852985344.0,4.182,88.445,2.862,110.326,246.116,208.641,46588.398,660.571,Canada,25360732.0,652317687808.0,3.906,93.524,3.067,114.031,239.851,193.811,47236.586,648.19,681.259
1985-1985,Canada,Canada,25360732.0,652317687808.0,3.906,93.524,3.067,114.031,239.851,193.811,47236.586,648.19,Canada,25602080.0,689733500928.0,4.276,102.914,4.305,121.231,256.026,192.507,47917.848,681.259,678.194
1986-1986,Canada,Canada,25602080.0,689733500928.0,4.276,102.914,4.305,121.231,256.026,192.507,47917.848,681.259,Canada,25843920.0,727013326848.0,5.063,99.763,5.009,125.225,256.476,186.659,48596.043,678.194,657.192
1987-1987,Canada,Canada,25843920.0,727013326848.0,5.063,99.763,5.009,125.225,256.476,186.659,48596.043,678.194,Canada,26116076.0,746074603520.0,5.27,92.487,4.741,115.782,252.484,186.428,49253.234,657.192,680.906
1988-1988,Canada,Canada,26116076.0,746074603520.0,5.27,92.487,4.741,115.782,252.484,186.428,49253.234,657.192,Canada,26436886.0,776472494080.0,6.259,99.031,4.708,119.12,249.924,201.864,49934.141,680.906,706.695
1989-1989,Canada,Canada,26436886.0,776472494080.0,6.259,99.031,4.708,119.12,249.924,201.864,49934.141,680.906,Canada,26815068.0,814240038912.0,5.986,106.406,5.192,127.203,251.026,210.882,50640.836,706.695,708.801
1990-1990,Canada,Canada,26815068.0,814240038912.0,5.986,106.406,5.192,127.203,251.026,210.882,50640.836,706.695,Canada,27244408.0,833918730240.0,6.263,106.897,4.661,138.422,245.915,206.642,51349.637,708.801,698.519
1991-1991,Canada,Canada,27244408.0,833918730240.0,6.263,106.897,4.661,138.422,245.915,206.642,51349.637,708.801,Canada,27657206.0,835996811264.0,5.823,99.384,11.96,125.716,240.016,212.49,52048.156,698.519,676.602
1992-1992,Canada,Canada,27657206.0,835996811264.0,5.823,99.384,11.96,125.716,240.016,212.49,52048.156,698.519,Canada,28015762.0,820274266112.0,4.771,104.32,12.155,125.377,226.442,200.261,52724.758,676.602,692.569
1993-1993,Canada,Canada,28015762.0,820274266112.0,4.771,104.32,12.155,125.377,226.442,200.261,52724.758,676.602,Canada,28347644.0,829742120960.0,4.804,107.115,13.195,132.662,228.556,203.258,53417.324,692.569,691.927
1994-1994,Canada,Canada,28347644.0,829742120960.0,4.804,107.115,13.195,132.662,228.556,203.258,53417.324,692.569,Canada,28668168.0,853776007168.0,4.893,99.073,13.345,137.763,227.373,206.534,54109.254,691.927,708.337
1995-1995,Canada,Canada,28668168.0,853776007168.0,4.893,99.073,13.345,137.763,227.373,206.534,54109.254,691.927,Canada,28981190.0,894851940352.0,5.769,102.727,14.634,140.978,229.304,211.67,54817.59,708.337,722.819
1996-1996,Canada,Canada,28981190.0,894851940352.0,5.769,102.727,14.634,140.978,229.304,211.67,54817.59,708.337,Canada,29289430.0,921360072704.0,6.529,104.557,14.902,148.261,230.994,214.348,55540.406,722.819,738.65
1997-1997,Canada,Canada,29289430.0,921360072704.0,6.529,104.557,14.902,148.261,230.994,214.348,55540.406,722.819,Canada,29593856.0,938872537088.0,6.185,106.522,16.116,155.034,230.454,221.106,56279.059,738.65,759.618
1998-1998,Canada,Canada,29593856.0,938872537088.0,6.185,106.522,16.116,155.034,230.454,221.106,56279.059,738.65,Canada,29882752.0,981728100352.0,6.657,113.401,16.272,153.691,237.041,229.091,57038.676,759.618,762.534
1999-1999,Canada,Canada,29882752.0,981728100352.0,6.657,113.401,16.272,153.691,237.041,229.091,57038.676,759.618,Canada,30144816.0,1022474584064.0,6.828,119.626,17.992,150.444,232.258,232.014,57801.211,762.534,773.598
2000-2000,Canada,Canada,30144816.0,1022474584064.0,6.828,119.626,17.992,150.444,232.258,232.014,57801.211,762.534,Canada,30399776.0,1078414934016.0,7.118,119.945,16.268,162.93,229.116,234.946,58574.812,773.598,796.565
2001-2001,Canada,Canada,30399776.0,1078414934016.0,7.118,119.945,16.268,162.93,229.116,234.946,58574.812,773.598,Canada,30683316.0,1137681367040.0,7.232,129.62,16.248,173.423,229.469,237.197,59371.375,796.565,827.888
2002-2002,Canada,Canada,30683316.0,1137681367040.0,7.232,129.62,16.248,173.423,229.469,237.197,59371.375,796.565,Canada,31002768.0,1161459924992.0,6.983,127.083,15.673,165.5,268.741,241.047,60199.266,827.888,793.92
2003-2003,Canada,Canada,31002768.0,1161459924992.0,6.983,127.083,15.673,165.5,268.741,241.047,60199.266,827.888,Canada,31322400.0,1199865593856.0,7.148,124.437,16.026,171.755,229.546,242.067,60993.184,793.92,795.193
2004-2004,Canada,Canada,31322400.0,1199865593856.0,7.148,124.437,16.026,171.755,229.546,242.067,60993.184,793.92,Canada,31619456.0,1224575811584.0,7.248,123.534,15.499,174.245,213.766,257.959,61788.375,795.193,798.177
2005-2005,Canada,Canada,31619456.0,1224575811584.0,7.248,123.534,15.499,174.245,213.766,257.959,61788.375,795.193,Canada,31911670.0,1265917231104.0,7.52,115.875,16.0,170.262,218.488,266.942,62586.551,798.177,807.101
2006-2006,Canada,Canada,31911670.0,1265917231104.0,7.52,115.875,16.0,170.262,218.488,266.942,62586.551,798.177,Canada,32215914.0,1310077878272.0,7.614,116.966,15.67,170.636,232.338,260.884,63393.656,807.101,753.974
2007-2007,Canada,Canada,32215914.0,1310077878272.0,7.614,116.966,15.67,170.636,232.338,260.884,63393.656,807.101,Canada,32531864.0,1348293361664.0,7.728,114.307,16.021,168.469,185.39,259.107,64147.629,753.974,760.951
2008-2008,Canada,Canada,32531864.0,1348293361664.0,7.728,114.307,16.021,168.469,185.39,259.107,64147.629,753.974,Canada,32862458.0,1379925884928.0,7.731,119.147,16.083,182.186,167.196,265.759,64908.582,760.951,715.28
2009-2009,Canada,Canada,32862458.0,1379925884928.0,7.731,119.147,16.083,182.186,167.196,265.759,64908.582,760.951,Canada,33218542.0,1397938716672.0,6.988,112.985,15.317,181.85,138.471,256.95,65623.859,715.28,655.273
2010-2010,Canada,Canada,33218542.0,1397938716672.0,6.988,112.985,15.317,181.85,138.471,256.95,65623.859,715.28,Canada,33593920.0,1360538107904.0,5.364,93.593,14.378,175.259,111.133,253.289,66279.133,655.273,651.909
2011-2011,Canada,Canada,33593920.0,1360538107904.0,5.364,93.593,14.378,175.259,111.133,253.289,66279.133,655.273,Canada,33963416.0,1406355374080.0,6.005,96.047,14.705,179.267,95.847,257.787,66931.047,651.909,681.809
2012-2012,Canada,Canada,33963416.0,1406355374080.0,6.005,96.047,14.705,179.267,95.847,257.787,66931.047,651.909,Canada,34323536.0,1454221426688.0,6.02,86.995,14.902,195.479,116.555,259.432,67612.852,681.809,681.564
2013-2013,Canada,Canada,34323536.0,1454221426688.0,6.02,86.995,14.902,195.479,116.555,259.432,67612.852,681.809,Canada,34691876.0,1479829618688.0,6.532,81.697,15.796,198.322,115.782,260.896,68294.414,681.564,691.786
2014-2014,Canada,Canada,34691876.0,1479829618688.0,6.532,81.697,15.796,198.322,115.782,260.896,68294.414,681.564,Canada,35063696.0,1514296442880.0,5.973,79.213,16.676,204.679,122.246,260.535,68986.203,691.786,698.927
2015-2015,Canada,Canada,35063696.0,1514296442880.0,5.973,79.213,16.676,204.679,122.246,260.535,68986.203,691.786,Canada,35404616.0,1557757558784.0,5.912,76.836,16.902,211.232,132.574,252.967,69685.133,698.927,718.218
2016-2016,Canada,Canada,35404616.0,1557757558784.0,5.912,76.836,16.902,211.232,132.574,252.967,69685.133,698.927,Canada,35732120.0,1568025739264.0,6.185,78.423,16.097,213.777,147.537,253.879,70403.352,718.218,674.55
2017-2017,Canada,Canada,35732120.0,1568025739264.0,6.185,78.423,16.097,213.777,147.537,253.879,70403.352,718.218,Canada,36113532.0,1583728033792.0,6.114,73.693,14.093,209.554,116.861,251.961,71077.898,674.55,721.88
2018-2018,Canada,Canada,36113532.0,1583728033792.0,6.114,73.693,14.093,209.554,116.861,251.961,71077.898,674.55,Canada,36554344.0,1631871434752.0,6.863,72.858,14.813,214.307,155.228,255.604,71799.773,721.88,713.817
2019-2019,Canada,Canada,36554344.0,1631871434752.0,6.863,72.858,14.813,214.307,155.228,255.604,71799.773,721.88,Canada,37035260.0,1677189185536.0,6.99,60.974,15.484,230.017,136.751,261.441,72513.594,713.817,708.518
2020-2020,Canada,Canada,37035260.0,1677189185536.0,6.99,60.974,15.484,230.017,136.751,261.441,72513.594,713.817,Canada,37522584.0,1708858146816.0,7.195,58.626,15.905,231.565,129.93,263.154,73222.109,708.518,645.677
2021-2021,Canada,Canada,37522584.0,1708858146816.0,7.195,58.626,15.905,231.565,129.93,263.154,73222.109,708.518,Canada,37888704.0,1622144450560.0,6.713,48.517,16.426,221.474,122.832,227.67,73867.789,645.677,655.622
2022-2022,Canada,Canada,37888704.0,1622144450560.0,6.713,48.517,16.426,221.474,122.832,227.67,73867.789,645.677,Canada,38155012.0,1703443300352.0,7.38,45.894,17.164,228.711,118.449,235.891,74523.414,655.622,665.826
1930-1930,Chile,Chile,4504225.0,23221260288.0,0.055,3.602,0.0,0.0,38.402,0.0,1182.071,42.058,Chile,4569171.0,23863158784.0,0.073,3.943,0.0,0.0,38.135,0.0,1224.221,42.15,43.849
1931-1931,Chile,Chile,4569171.0,23863158784.0,0.073,3.943,0.0,0.0,38.135,0.0,1224.221,42.15,Chile,4638243.0,20801015808.0,0.08,3.77,0.0,0.0,39.999,0.0,1268.071,43.849,43.64
1932-1932,Chile,Chile,4638243.0,20801015808.0,0.08,3.77,0.0,0.0,39.999,0.0,1268.071,43.849,Chile,4711552.0,16912128000.0,0.051,2.876,0.0,0.0,40.713,0.0,1311.711,43.64,44.002
1933-1933,Chile,Chile,4711552.0,16912128000.0,0.051,2.876,0.0,0.0,40.713,0.0,1311.711,43.64,Chile,4789213.0,12982949888.0,0.055,2.84,0.0,0.0,41.108,0.0,1355.713,44.002,45.444
1934-1934,Chile,Chile,4789213.0,12982949888.0,0.055,2.84,0.0,0.0,41.108,0.0,1355.713,44.002,Chile,4871343.0,16183314432.0,0.069,4.023,0.0,0.0,41.352,0.0,1401.157,45.444,46.405
1935-1935,Chile,Chile,4871343.0,16183314432.0,0.069,4.023,0.0,0.0,41.352,0.0,1401.157,45.444,Chile,4954882.0,19415412736.0,0.102,4.727,0.0,0.0,41.577,0.0,1447.562,46.405,46.796
1936-1936,Chile,Chile,4954882.0,19415412736.0,0.102,4.727,0.0,0.0,41.577,0.0,1447.562,46.405,Chile,5039853.0,20863375360.0,0.142,4.968,0.0,0.0,41.685,0.0,1494.358,46.796,46.746
1937-1937,Chile,Chile,5039853.0,20863375360.0,0.142,4.968,0.0,0.0,41.685,0.0,1494.358,46.796,Chile,5126282.0,21572304896.0,0.123,4.903,0.0,0.0,41.72,0.0,1541.103,46.746,46.91
1938-1938,Chile,Chile,5126282.0,21572304896.0,0.123,4.903,0.0,0.0,41.72,0.0,1541.103,46.746,Chile,5214192.0,24342487040.0,0.156,5.122,0.0,0.0,41.632,0.0,1588.014,46.91,46.989
1939-1939,Chile,Chile,5214192.0,24342487040.0,0.156,5.122,0.0,0.0,41.632,0.0,1588.014,46.91,Chile,5303610.0,24716249088.0,0.182,5.346,0.0,0.0,41.462,0.0,1635.003,46.989,46.301
1940-1940,Chile,Chile,5303610.0,24716249088.0,0.182,5.346,0.0,0.0,41.462,0.0,1635.003,46.989,Chile,5396359.0,25346183168.0,0.167,4.84,0.0,0.0,41.294,0.0,1681.304,46.301,46.16
1941-1941,Chile,Chile,5396359.0,25346183168.0,0.167,4.84,0.0,0.0,41.294,0.0,1681.304,46.301,Chile,5492530.0,26174912512.0,0.189,5.071,0.0,0.0,40.9,0.0,1727.464,46.16,46.268
1942-1942,Chile,Chile,5492530.0,26174912512.0,0.189,5.071,0.0,0.0,40.9,0.0,1727.464,46.16,Chile,5592215.0,26223740928.0,0.178,5.39,0.0,0.0,40.7,0.0,1773.732,46.268,46.244
1943-1943,Chile,Chile,5592215.0,26223740928.0,0.178,5.39,0.0,0.0,40.7,0.0,1773.732,46.268,Chile,5695510.0,27084926976.0,0.182,5.624,0.0,0.0,40.438,0.0,1819.976,46.244,46.228
1944-1944,Chile,Chile,5695510.0,27084926976.0,0.182,5.624,0.0,0.0,40.438,0.0,1819.976,46.244,Chile,5802513.0,27857731584.0,0.185,5.925,0.0,0.0,40.118,0.0,1866.204,46.228,45.933
1945-1945,Chile,Chile,5802513.0,27857731584.0,0.185,5.925,0.0,0.0,40.118,0.0,1866.204,46.228,Chile,5911526.0,28383840256.0,0.178,5.961,0.0,0.0,39.794,0.0,1912.137,45.933,45.065
1946-1946,Chile,Chile,5911526.0,28383840256.0,0.178,5.961,0.0,0.0,39.794,0.0,1912.137,45.933,Chile,6022587.0,30830256128.0,0.204,5.437,0.0,0.0,39.424,0.0,1957.203,45.065,44.467
1947-1947,Chile,Chile,6022587.0,30830256128.0,0.204,5.437,0.0,0.0,39.424,0.0,1957.203,45.065,Chile,6135735.0,33472208896.0,0.287,5.144,0.0,0.0,39.036,0.0,2001.67,44.467,44.33
1948-1948,Chile,Chile,6135735.0,33472208896.0,0.287,5.144,0.0,0.0,39.036,0.0,2001.67,44.467,Chile,6251009.0,29882306560.0,0.298,5.408,0.0,0.0,38.624,0.0,2046.0,44.33,44.414
1949-1949,Chile,Chile,6251009.0,29882306560.0,0.298,5.408,0.0,0.0,38.624,0.0,2046.0,44.33,Chile,6368448.0,34832236544.0,0.265,5.943,0.0,0.0,38.206,0.0,2090.414,44.414,44.135
1950-1950,Chile,Chile,6368448.0,34832236544.0,0.265,5.943,0.0,0.0,38.206,0.0,2090.414,44.414,Chile,6492585.0,34082990080.0,0.243,5.602,0.0,0.007,38.26,0.022,2134.548,44.135,45.283
1951-1951,Chile,Chile,6492585.0,34082990080.0,0.243,5.602,0.0,0.007,38.26,0.022,2134.548,44.135,Chile,6623650.0,35814096896.0,0.254,4.749,0.0,0.0,36.832,3.448,2179.831,45.283,46.731
1952-1952,Chile,Chile,6623650.0,35814096896.0,0.254,4.749,0.0,0.0,36.832,3.448,2179.831,45.283,Chile,6748677.0,37517848576.0,0.345,5.701,0.0,0.0,36.749,3.935,2226.562,46.731,47.015
1953-1953,Chile,Chile,6748677.0,37517848576.0,0.345,5.701,0.0,0.0,36.749,3.935,2226.562,46.731,Chile,6882965.0,39872872448.0,0.403,5.749,0.117,0.0,36.411,4.335,2273.577,47.015,47.869
1954-1954,Chile,Chile,6882965.0,39872872448.0,0.403,5.749,0.117,0.0,36.411,4.335,2273.577,47.015,Chile,7024139.0,42735439872.0,0.378,5.522,0.103,0.0,37.466,4.4,2321.446,47.869,49.717
1955-1955,Chile,Chile,7024139.0,42735439872.0,0.378,5.522,0.103,0.0,37.466,4.4,2321.446,47.869,Chile,7171411.0,41239904256.0,0.382,5.489,0.055,0.092,38.637,5.064,2371.163,49.717,51.428
1956-1956,Chile,Chile,7171411.0,41239904256.0,0.382,5.489,0.055,0.092,38.637,5.064,2371.163,49.717,Chile,7323198.0,42759069696.0,0.396,5.459,0.136,0.092,39.831,5.514,2422.591,51.428,52.661
1957-1957,Chile,Chile,7323198.0,42759069696.0,0.396,5.459,0.136,0.092,39.831,5.514,2422.591,51.428,Chile,7480643.0,43296378880.0,0.382,5.534,0.209,0.092,40.83,5.615,2475.252,52.661,53.702
1958-1958,Chile,Chile,7480643.0,43296378880.0,0.382,5.534,0.209,0.092,40.83,5.615,2475.252,52.661,Chile,7641939.0,47633264640.0,0.36,5.089,0.414,0.092,41.977,5.771,2528.955,53.702,55.519
1959-1959,Chile,Chile,7641939.0,47633264640.0,0.36,5.089,0.414,0.092,41.977,5.771,2528.955,53.702,Chile,7806577.0,50235248640.0,0.36,4.734,0.784,0.092,43.068,6.482,2584.474,55.519,57.052
1960-1960,Chile,Chile,7806577.0,50235248640.0,0.36,4.734,0.784,0.092,43.068,6.482,2584.474,55.519,Chile,7973551.0,47425589248.0,0.414,4.543,1.114,0.092,44.349,6.54,2641.526,57.052,58.022
1961-1961,Chile,Chile,7973551.0,47425589248.0,0.414,4.543,1.114,0.092,44.349,6.54,2641.526,57.052,Chile,8141826.0,51436253184.0,0.414,4.51,1.535,0.092,44.545,6.925,2699.548,58.022,51.093
1962-1962,Chile,Chile,8141826.0,51436253184.0,0.414,4.51,1.535,0.092,44.545,6.925,2699.548,58.022,Chile,8313539.0,53814652928.0,0.436,4.44,2.26,0.103,36.638,7.216,2750.641,51.093,50.747
1963-1963,Chile,Chile,8313539.0,53814652928.0,0.436,4.44,2.26,0.103,36.638,7.216,2750.641,51.093,Chile,8486124.0,56294055936.0,0.505,4.772,2.994,0.103,34.039,8.334,2801.387,50.747,49.708
1964-1964,Chile,Chile,8486124.0,56294055936.0,0.505,4.772,2.994,0.103,34.039,8.334,2801.387,50.747,Chile,8656007.0,59768950784.0,0.578,4.602,2.961,0.103,32.371,9.094,2851.095,49.708,48.707
1965-1965,Chile,Chile,8656007.0,59768950784.0,0.578,4.602,2.961,0.103,32.371,9.094,2851.095,49.708,Chile,8825044.0,60978696192.0,0.625,4.404,2.565,0.103,31.201,9.809,2899.802,48.707,48.079
1966-1966,Chile,Chile,8825044.0,60978696192.0,0.625,4.404,2.565,0.103,31.201,9.809,2899.802,48.707,Chile,8994942.0,61339717632.0,0.585,4.36,2.506,0.114,30.332,10.182,2947.881,48.079,49.68
1967-1967,Chile,Chile,8994942.0,61339717632.0,0.585,4.36,2.506,0.114,30.332,10.182,2947.881,48.079,Chile,9161650.0,68132622336.0,0.676,4.334,2.22,0.114,30.907,11.429,2997.561,49.68,49.927
1968-1968,Chile,Chile,9161650.0,68132622336.0,0.676,4.334,2.22,0.114,30.907,11.429,2997.561,49.68,Chile,9326270.0,70277718016.0,0.61,4.553,2.465,0.125,30.688,11.484,3047.488,49.927,50.736
1969-1969,Chile,Chile,9326270.0,70277718016.0,0.61,4.553,2.465,0.125,30.688,11.484,3047.488,49.927,Chile,9491502.0,72715534336.0,0.611,4.687,2.939,0.128,29.533,12.837,3098.223,50.736,62.105
1970-1970,Chile,Chile,9491502.0,72715534336.0,0.611,4.687,2.939,0.128,29.533,12.837,3098.223,50.736,Chile,9656302.0,75313209344.0,0.709,4.73,3.616,0.143,39.574,13.333,3160.328,62.105,63.158
1971-1971,Chile,Chile,9656302.0,75313209344.0,0.709,4.73,3.616,0.143,39.574,13.333,3160.328,62.105,Chile,9820483.0,76775333888.0,1.01,4.764,2.092,2.367,38.522,14.402,3223.486,63.158,66.414
1972-1972,Chile,Chile,9820483.0,76775333888.0,1.01,4.764,2.092,2.367,38.522,14.402,3223.486,63.158,Chile,9984377.0,83697033216.0,0.664,5.152,3.463,2.492,39.358,15.285,3289.9,66.414,73.155
1973-1973,Chile,Chile,9984377.0,83697033216.0,0.664,5.152,3.463,2.492,39.358,15.285,3289.9,66.414,Chile,10145762.0,82793308160.0,0.659,4.357,4.28,2.554,45.016,16.289,3363.055,73.155,74.669
1974-1974,Chile,Chile,10145762.0,82793308160.0,0.659,4.357,4.28,2.554,45.016,16.289,3363.055,73.155,Chile,10307850.0,78292279296.0,0.643,4.672,4.587,2.264,47.081,15.422,3437.724,74.669,66.696
1975-1975,Chile,Chile,10307850.0,78292279296.0,0.643,4.672,4.587,2.264,47.081,15.422,3437.724,74.669,Chile,10472748.0,79171403776.0,0.655,4.488,3.656,2.257,40.818,14.822,3504.42,66.696,76.137
1976-1976,Chile,Chile,10472748.0,79171403776.0,0.655,4.488,3.656,2.257,40.818,14.822,3504.42,66.696,Chile,10639534.0,69003132928.0,0.457,3.568,3.788,2.257,53.19,12.877,3580.557,76.137,58.214
1977-1977,Chile,Chile,10639534.0,69003132928.0,0.457,3.568,3.788,2.257,53.19,12.877,3580.557,76.137,Chile,10804876.0,71648444416.0,0.425,3.646,4.606,1.598,34.185,13.753,3638.771,58.214,49.727
1978-1978,Chile,Chile,10804876.0,71648444416.0,0.425,3.646,4.606,1.598,34.185,13.753,3638.771,58.214,Chile,10969865.0,78841257984.0,0.487,3.851,3.089,1.506,26.71,14.084,3688.498,49.727,44.863
1979-1979,Chile,Chile,10969865.0,78841257984.0,0.487,3.851,3.089,1.506,26.71,14.084,3688.498,49.727,Chile,11137754.0,85389959168.0,0.499,3.917,2.968,0.912,22.021,14.546,3733.361,44.863,44.553
1980-1980,Chile,Chile,11137754.0,85389959168.0,0.499,3.917,2.968,0.912,22.021,14.546,3733.361,44.863,Chile,11304332.0,92570918912.0,0.562,4.247,3.081,1.418,19.823,15.422,3777.914,44.553,41.817
1981-1981,Chile,Chile,11304332.0,92570918912.0,0.562,4.247,3.081,1.418,19.823,15.422,3777.914,44.553,Chile,11469825.0,100109713408.0,0.643,5.118,2.466,1.432,16.717,15.442,3819.731,41.817,37.444
1982-1982,Chile,Chile,11469825.0,100109713408.0,0.643,5.118,2.466,1.432,16.717,15.442,3819.731,41.817,Chile,11637615.0,106358276096.0,0.74,4.932,1.279,1.642,13.096,15.754,3857.175,37.444,31.683
1983-1983,Chile,Chile,11637615.0,106358276096.0,0.74,4.932,1.279,1.642,13.096,15.754,3857.175,37.444,Chile,11807411.0,92080693248.0,0.441,3.294,0.942,1.696,11.208,14.103,3888.858,31.683,30.887
1984-1984,Chile,Chile,11807411.0,92080693248.0,0.441,3.294,0.942,1.696,11.208,14.103,3888.858,31.683,Chile,11976519.0,89603039232.0,0.478,4.041,0.751,1.803,10.213,13.601,3919.745,30.887,32.35
1985-1985,Chile,Chile,11976519.0,89603039232.0,0.478,4.041,0.751,1.803,10.213,13.601,3919.745,30.887,Chile,12147764.0,94938079232.0,0.519,5.225,0.762,1.81,10.346,13.689,3952.095,32.35,30.551
1986-1986,Chile,Chile,12147764.0,94938079232.0,0.519,5.225,0.762,1.81,10.346,13.689,3952.095,32.35,Chile,12326395.0,96833634304.0,0.517,5.057,0.623,1.847,9.258,13.248,3982.646,30.551,26.257
1987-1987,Chile,Chile,12326395.0,96833634304.0,0.517,5.057,0.623,1.847,9.258,13.248,3982.646,30.551,Chile,12514509.0,102072827904.0,0.508,5.299,0.407,1.686,4.235,14.123,4008.903,26.257,27.488
1988-1988,Chile,Chile,12514509.0,102072827904.0,0.508,5.299,0.407,1.686,4.235,14.123,4008.903,26.257,Chile,12712786.0,108707266560.0,0.551,5.232,0.359,1.652,5.078,14.616,4036.391,27.488,34.433
1989-1989,Chile,Chile,12712786.0,108707266560.0,0.551,5.232,0.359,1.652,5.078,14.616,4036.391,27.488,Chile,12918395.0,116634124288.0,0.633,7.189,0.275,2.202,7.833,16.301,4070.825,34.433,33.911
1990-1990,Chile,Chile,12918395.0,116634124288.0,0.633,7.189,0.275,2.202,7.833,16.301,4070.825,34.433,Chile,13128625.0,129084506112.0,0.658,9.885,0.3,3.254,1.893,17.921,4104.736,33.911,34.423
1991-1991,Chile,Chile,13128625.0,129084506112.0,0.658,9.885,0.3,3.254,1.893,17.921,4104.736,33.911,Chile,13342876.0,133955190784.0,0.676,10.707,0.385,2.613,1.515,18.527,4139.159,34.423,29.994
1992-1992,Chile,Chile,13342876.0,133955190784.0,0.676,10.707,0.385,2.613,1.515,18.527,4139.159,34.423,Chile,13561946.0,143694659584.0,0.715,8.628,0.238,2.198,-0.898,19.113,4169.152,29.994,31.065
1993-1993,Chile,Chile,13561946.0,143694659584.0,0.715,8.628,0.238,2.198,-0.898,19.113,4169.152,29.994,Chile,13782300.0,160277250048.0,0.871,7.456,0.242,2.612,-0.935,20.819,4200.218,31.065,40.44
1994-1994,Chile,Chile,13782300.0,160277250048.0,0.871,7.456,0.242,2.612,-0.935,20.819,4200.218,31.065,Chile,13998387.0,170385342464.0,1.005,7.628,0.198,2.448,6.342,22.819,4240.657,40.44,40.598
1995-1995,Chile,Chile,13998387.0,170385342464.0,1.005,7.628,0.198,2.448,6.342,22.819,4240.657,40.44,Chile,14210680.0,178942754816.0,1.119,9.362,0.63,2.631,2.624,24.234,4281.256,40.598,45.699
1996-1996,Chile,Chile,14210680.0,178942754816.0,1.119,9.362,0.63,2.631,2.624,24.234,4281.256,40.598,Chile,14416799.0,196694147072.0,0.992,10.311,0.805,2.616,4.136,26.838,4326.955,45.699,54.605
1997-1997,Chile,Chile,14416799.0,196694147072.0,0.992,10.311,0.805,2.616,4.136,26.838,4326.955,45.699,Chile,14615489.0,209865801728.0,0.961,14.415,0.908,2.682,6.379,29.259,4381.56,54.605,70.409
1998-1998,Chile,Chile,14615489.0,209865801728.0,0.961,14.415,0.908,2.682,6.379,29.259,4381.56,54.605,Chile,14809289.0,222279417856.0,0.946,18.606,0.809,4.529,14.467,31.052,4451.968,70.409,66.876
1999-1999,Chile,Chile,14809289.0,222279417856.0,0.946,18.606,0.809,4.529,14.467,31.052,4451.968,70.409,Chile,14996745.0,227977543680.0,1.131,17.77,0.706,6.441,9.617,31.21,4518.844,66.876,73.396
2000-2000,Chile,Chile,14996745.0,227977543680.0,1.131,17.77,0.706,6.441,9.617,31.21,4518.844,66.876,Chile,15176418.0,224771948544.0,0.951,18.518,0.752,9.032,11.988,32.155,4592.241,73.396,79.491
2001-2001,Chile,Chile,15176418.0,224771948544.0,0.951,18.518,0.752,9.032,11.988,32.155,4592.241,73.396,Chile,15351803.0,233340518400.0,1.01,14.242,0.704,11.919,20.989,30.627,4671.732,79.491,76.943
2002-2002,Chile,Chile,15351803.0,233340518400.0,1.01,14.242,0.704,11.919,20.989,30.627,4671.732,79.491,Chile,15523973.0,239642804224.0,1.013,9.263,0.657,13.517,24.024,28.468,4748.674,76.943,72.881
2003-2003,Chile,Chile,15523973.0,239642804224.0,1.013,9.263,0.657,13.517,24.024,28.468,4748.674,76.943,Chile,15693798.0,243288817664.0,1.079,9.38,0.548,13.506,18.045,30.323,4821.555,72.881,84.333
2004-2004,Chile,Chile,15693798.0,243288817664.0,1.079,9.38,0.548,13.506,18.045,30.323,4821.555,72.881,Chile,15859114.0,250723123200.0,1.113,9.244,0.419,14.737,29.232,29.587,4905.888,84.333,83.147
2005-2005,Chile,Chile,15859114.0,250723123200.0,1.113,9.244,0.419,14.737,29.232,29.587,4905.888,84.333,Chile,16017966.0,264146059264.0,1.194,10.281,0.382,16.048,23.918,31.324,4989.035,83.147,87.926
2006-2006,Chile,Chile,16017966.0,264146059264.0,1.194,10.281,0.382,16.048,23.918,31.324,4989.035,83.147,Chile,16175315.0,278000697344.0,1.152,10.252,0.34,15.557,26.799,33.826,5076.961,87.926,89.556
2007-2007,Chile,Chile,16175315.0,278000697344.0,1.152,10.252,0.34,15.557,26.799,33.826,5076.961,87.926,Chile,16334573.0,293258330112.0,1.236,12.538,0.209,14.334,25.504,35.735,5166.517,89.556,103.835
