country_order,year,country_index,population_lag_1,population_lag_2,gdp_lag_1,gdp_lag_2,temperature_change_from_co2_lag_1,temperature_change_from_co2_lag_2,total_ghg_lag_1,total_ghg_lag_2,cement_co2_lag_1,cement_co2_lag_2,coal_co2_lag_1,coal_co2_lag_2,flaring_co2_lag_1,flaring_co2_lag_2,gas_co2_lag_1,gas_co2_lag_2,land_use_change_co2_lag_1,land_use_change_co2_lag_2,oil_co2_lag_1,oil_co2_lag_2
0,1853,Stany Zjednoczone,25040692.0,24309683.0,4001.3994092495527,3793.1931436539094,3.993499860147635e-11,0.0,3.871526393919146e-05,3.7967052059049885e-05,0.0,0.0,1.069898547532153e-06,1.0132999266177185e-06,0.0,0.0,0.0,0.0,3.6514685776255704e-05,3.5450729653693966e-05,0.0,0.0
0,1854,Stany Zjednoczone,25793143.0,25040692.0,4302.327650414686,4001.3994092495527,3.876999402515622e-11,3.993499860147635e-11,3.786207830507511e-05,3.871526393919146e-05,0.0,0.0,1.169380559786762e-06,1.069898547532153e-06,0.0,0.0,0.0,0.0,3.586453190291699e-05,3.6514685776255704e-05,0.0,0.0
0,1855,Stany Zjednoczone,26568199.0,25793143.0,4304.295487699411,4302.327650414686,7.527796671501897e-11,3.876999402515622e-11,3.8116019832582556e-05,3.786207830507511e-05,0.0,0.0,1.2480710491516569e-06,1.169380559786762e-06,0.0,0.0,0.0,0.0,3.624543763768105e-05,3.586453190291699e-05,0.0,0.0
0,1856,Stany Zjednoczone,27366540.0,26568199.0,4213.41126090474,4304.295487699411,7.308194605529234e-11,7.527796671501897e-11,3.749699450496848e-05,3.8116019832582556e-05,0.0,0.0,1.3944400717080055e-06,1.2480710491516569e-06,0.0,0.0,0.0,0.0,3.560530487230026e-05,3.624543763768105e-05,0.0,0.0
0,1857,Stany Zjednoczone,28188865.0,27366540.0,4299.779627735988,4213.41126090474,7.095000100216877e-11,7.308194605529234e-11,3.748490760447432e-05,3.749699450496848e-05,0.0,0.0,1.4203125950619154e-06,1.3944400717080055e-06,0.0,0.0,0.0,0.0,3.564215870344549e-05,3.560530487230026e-05,0.0,0.0
0,1858,Stany Zjednoczone,29035895.0,28188865.0,4202.738878894555,4299.779627735988,1.0332039015845732e-10,7.095000100216877e-11,3.686392308554635e-05,3.748490760447432e-05,0.0,0.0,1.4139395393184883e-06,1.4203125950619154e-06,0.0,0.0,0.0,0.0,3.505743494388583e-05,3.564215870344549e-05,0.0,0.0
0,1859,Stany Zjednoczone,29908371.0,29035895.0,4215.687365921734,4202.738878894555,1.0030636573285787e-10,1.0332039015845732e-10,3.6853494962998824e-05,3.686392308554635e-05,0.0,0.0,1.3925532754692658e-06,1.4139395393184883e-06,0.0,0.0,0.0,0.0,3.5068075088409195e-05,3.505743494388583e-05,0.0,0.0
0,1860,Stany Zjednoczone,30763983.0,29908371.0,4323.337312466984,4215.687365921734,1.3002217560710523e-10,1.0030636573285787e-10,3.7278690473857036e-05,3.6853494962998824e-05,0.0,0.0,1.4731512496285023e-06,1.3925532754692658e-06,0.0,0.0,0.0,0.0,3.537906648823724e-05,3.5068075088409195e-05,0.0,0.0
0,1861,Stany Zjednoczone,31601240.0,30763983.0,4435.013135433926,4323.337312466984,1.2657731152321872e-10,1.3002217560710523e-10,3.4418934193721514e-05,3.7278690473857036e-05,0.0,0.0,1.4947514717776896e-06,1.4731512496285023e-06,0.0,0.0,0.0,0.0,3.0476335738724176e-05,3.537906648823724e-05,6.392154231922545e-09,0.0
0,1862,Stany Zjednoczone,32418583.0,31601240.0,4346.406803036394,4435.013135433926,1.542325276832735e-10,1.2657731152321872e-10,3.191428817231154e-05,3.4418934193721514e-05,0.0,0.0,1.3824786851417903e-06,1.4947514717776896e-06,0.0,0.0,0.0,0.0,2.7315351815346155e-05,3.0476335738724176e-05,2.6558841267059696e-08,6.392154231922545e-09
0,1863,Stany Zjednoczone,33214384.0,32418583.0,4487.272369224129,4346.406803036394,1.5053718894801723e-10,1.542325276832735e-10,3.1386702821283696e-05,3.191428817231154e-05,0.0,0.0,1.3909335184418894e-06,1.3824786851417903e-06,0.0,0.0,0.0,0.0,2.627373730610208e-05,2.7315351815346155e-05,3.76041897992147e-08,2.6558841267059696e-08
0,1864,Stany Zjednoczone,33986941.0,33214384.0,4784.841087757795,4487.272369224129,1.471153287964339e-10,1.5053718894801723e-10,3.097348478640664e-05,3.1386702821283696e-05,0.0,0.0,1.5813132461671088e-06,1.3909335184418894e-06,0.0,0.0,0.0,0.0,2.523957657736835e-05,2.627373730610208e-05,3.1364988099399706e-08,3.76041897992147e-08
0,1865,Stany Zjednoczone,34777462.0,33986941.0,4947.413728120816,4784.841087757795,1.7252552817108967e-10,1.471153287964339e-10,2.9901578211774054e-05,3.097348478640664e-05,0.0,0.0,1.6617658873439356e-06,1.5813132461671088e-06,0.0,0.0,0.0,0.0,2.374014526994523e-05,2.523957657736835e-05,2.4872430311332092e-08,3.1364988099399706e-08
0,1866,Stany Zjednoczone,35586364.0,34777462.0,4695.098271236702,4947.413728120816,1.6860390682228733e-10,1.7252552817108967e-10,2.8562513439136407e-05,2.9901578211774054e-05,0.0,0.0,1.6242176357213677e-06,1.6617658873439356e-06,0.0,0.0,0.0,0.0,2.2184171442747002e-05,2.374014526994523e-05,2.8718865462062942e-08,2.4872430311332092e-08
0,1867,Stany Zjednoczone,36414073.0,35586364.0,4657.344010047983,4695.098271236702,1.9223337087284908e-10,1.6860390682228733e-10,2.829631280192139e-05,2.8562513439136407e-05,0.0,0.0,1.586282314532626e-06,1.6242176357213677e-06,0.0,0.0,0.0,0.0,2.1753842257634842e-05,2.2184171442747002e-05,4.034154597317362e-08,2.8718865462062942e-08
0,1868,Stany Zjednoczone,37261027.0,36414073.0,4808.576297803063,4657.344010047983,1.878638503442216e-10,1.9223337087284908e-10,2.7929423416053456e-05,2.829631280192139e-05,0.0,0.0,1.9188682051087854e-06,1.586282314532626e-06,0.0,0.0,0.0,0.0,2.0853826707460316e-05,2.1753842257634842e-05,3.668712620293584e-08,4.034154597317362e-08
0,1869,Stany Zjednoczone,38127674.0,37261027.0,4868.69582193763,4808.576297803063,1.8359368053765883e-10,1.878638503442216e-10,2.7493599530881428e-05,2.7929423416053456e-05,0.0,0.0,2.12079551456509e-06,1.9188682051087854e-06,0.0,0.0,0.0,0.0,2.0054908148868458e-05,2.0853826707460316e-05,3.910545395452133e-08,3.668712620293584e-08
0,1870,Stany Zjednoczone,39007998.0,38127674.0,4990.905693135033,4868.69582193763,2.0508614669227578e-10,1.8359368053765883e-10,2.6949857821465227e-05,2.7493599530881428e-05,0.0,0.0,2.3577216139110752e-06,2.12079551456509e-06,0.0,0.0,0.0,0.0,1.9143510005307117e-05,2.0054908148868458e-05,4.42473361488585e-08,3.910545395452133e-08
0,1871,Stany Zjednoczone,39902173.0,39007998.0,4843.785704803596,4990.905693135033,2.0049033419808993e-10,2.0508614669227578e-10,3.1661634066896556e-05,2.6949857821465227e-05,0.0,0.0,2.4202190692722425e-06,2.3577216139110752e-06,0.0,0.0,0.0,0.0,2.731237218584562e-05,1.9143510005307117e-05,5.132552555471102e-08,4.42473361488585e-08
0,1872,Stany Zjednoczone,40810375.0,39902173.0,4953.371639246147,4843.785704803596,2.2053215634504704e-10,2.0049033419808993e-10,3.360250916586775e-05,3.1661634066896556e-05,0.0,0.0,2.474909872795827e-06,2.4202190692722425e-06,0.0,0.0,0.0,0.0,3.040528297032311e-05,2.731237218584562e-05,4.947271374007223e-08,5.132552555471102e-08
0,1873,Stany Zjednoczone,41732783.0,40810375.0,5040.216973212642,4953.371639246147,2.156577959346732e-10,2.2053215634504704e-10,3.45851845059075e-05,3.360250916586775e-05,0.0,0.0,2.968745218836712e-06,2.474909872795827e-06,0.0,0.0,0.0,0.0,3.1533554807499893e-05,3.040528297032311e-05,5.777232733316635e-08,4.947271374007223e-08
0,1874,Stany Zjednoczone,42669573.0,41732783.0,5177.175793345764,5040.216973212642,2.343590361215942e-10,2.156577959346732e-10,3.5553507882537285e-05,3.45851845059075e-05,0.0,0.0,3.1792209404110983e-06,2.968745218836712e-06,0.0,0.0,0.0,0.0,3.27813685878694e-05,3.1533554807499893e-05,9.025166481042592e-08,5.777232733316635e-08
0,1875,Stany Zjednoczone,43627383.0,42669573.0,5031.519144753652,5177.175793345764,2.521352243383473e-10,2.343590361215942e-10,3.5633835749442046e-05,3.5553507882537285e-05,0.0,0.0,2.97916104662982e-06,3.1792209404110983e-06,0.0,0.0,0.0,0.0,3.349843377036849e-05,3.27813685878694e-05,9.911206454900126e-08,9.025166481042592e-08
0,1876,Stany Zjednoczone,44606685.0,43627383.0,5178.170988855146,5031.519144753652,2.4659980897482067e-10,2.521352243383473e-10,3.563136332592301e-05,3.5633835749442046e-05,0.0,0.0,2.9663266839936664e-06,2.97916104662982e-06,0.0,0.0,0.0,0.0,3.381943760223384e-05,3.349843377036849e-05,7.689430407123955e-08,9.911206454900126e-08
0,1877,Stany Zjednoczone,45607961.0,44606685.0,5125.021820817642,5178.170988855146,2.6311195977386493e-10,2.4659980897482067e-10,3.552772289030856e-05,3.563136332592301e-05,0.0,0.0,2.8358207024427165e-06,2.9663266839936664e-06,0.0,0.0,0.0,0.0,3.407709895208865e-05,3.381943760223384e-05,7.639017232101212e-08,7.689430407123955e-08
0,1878,Stany Zjednoczone,46631704.0,45607961.0,5174.494045681882,5125.021820817642,2.787802907652699e-10,2.6311195977386493e-10,3.5887494053401946e-05,3.552772289030856e-05,0.0,0.0,3.045095671391292e-06,2.8358207024427165e-06,0.0,0.0,0.0,0.0,3.433123524716146e-05,3.407709895208865e-05,1.1101888963783094e-07,7.639017232101212e-08
0,1879,Stany Zjednoczone,47678418.0,46631704.0,5273.505571095081,5174.494045681882,2.726600534438873e-10,2.787802907652699e-10,3.6165398776444304e-05,3.5887494053401946e-05,0.0,0.0,2.8911823374676568e-06,3.045095671391292e-06,0.0,0.0,0.0,0.0,3.4890272575738564e-05,3.433123524716146e-05,1.2703861105458658e-07,1.1101888963783094e-07
0,1880,Stany Zjednoczone,48749140.0,47678418.0,5792.090510068485,5273.505571095081,2.871845534095576e-10,2.726600534438873e-10,3.682270087226154e-05,3.6165398776444304e-05,0.0,0.0,3.4381324470544505e-06,2.8911823374676568e-06,0.0,0.0,0.0,0.0,3.498531461272958e-05,3.4890272575738564e-05,1.6129515310423938e-07,1.2703861105458658e-07
0,1881,Stany Zjednoczone,49844419.0,48749140.0,6332.736832502752,5792.090510068485,3.0093639972009706e-10,2.871845534095576e-10,3.492082032293324e-05,3.682270087226154e-05,0.0,0.0,3.7777549378196187e-06,3.4381324470544505e-06,0.0,0.0,0.0,0.0,3.101251917491505e-05,3.498531461272958e-05,2.0832823831289919e-07,1.6129515310423938e-07
0,1882,Stany Zjednoczone,50964818.0,49844419.0,6413.899355276811,6332.736832502752,2.9432068216156486e-10,3.0093639972009706e-10,3.309999066414796e-05,3.492082032293324e-05,0.0,0.0,3.910109126652821e-06,3.7777549378196187e-06,0.0,0.0,0.0,0.0,2.8519595615940394e-05,3.101251917491505e-05,2.1416734971956535e-07,2.0832823831289919e-07
0,1883,Stany Zjednoczone,52110912.0,50964818.0,6673.130113861757,6413.899355276811,3.0703742049266e-10,2.9432068216156486e-10,3.32455321449757e-05,3.309999066414796e-05,0.0,0.0,4.284361785877015e-06,3.910109126652821e-06,0.0,0.0,3.166323398830556e-09,0.0,2.787164807248048e-05,2.8519595615940394e-05,2.2964480068972888e-07,2.1416734971956535e-07
0,1884,Stany Zjednoczone,53283291.0,52110912.0,6685.641594923257,6673.130113861757,3.190493620223271e-10,3.0703742049266e-10,3.3461765715634945e-05,3.32455321449757e-05,0.0,0.0,4.588586692214638e-06,4.284361785877015e-06,0.0,0.0,7.150459231206271e-09,3.166323398830556e-09,2.7461029011890424e-05,2.787164807248048e-05,1.6902109143371044e-07,2.2964480068972888e-07
0,1885,Stany Zjednoczone,54482036.0,53283291.0,6656.389398663442,6685.641594923257,3.3038412881633127e-10,3.190493620223271e-10,3.288344437054445e-05,3.3461765715634945e-05,0.0,0.0,4.722675929365047e-06,4.588586692214638e-06,0.0,0.0,2.1511677720707794e-08,7.150459231206271e-09,2.6412871207676602e-05,2.7461029011890424e-05,1.6732120657164867e-07,1.6902109143371044e-07
0,1886,Stany Zjednoczone,55707739.0,54482036.0,6559.2110786618,6656.389398663442,3.231148907335837e-10,3.3038412881633127e-10,3.236309770173943e-05,3.288344437054445e-05,0.0,0.0,4.672833697307299e-06,4.722675929365047e-06,0.0,0.0,6.668732328195908e-08,2.1511677720707794e-08,2.570605136209172e-05,2.6412871207676602e-05,1.460120289570539e-07,1.6732120657164867e-07
0,1887,Stany Zjednoczone,56961007.0,55707739.0,6608.390279897966,6559.2110786618,3.335615186718872e-10,3.231148907335837e-10,3.1712834711647564e-05,3.236309770173943e-05,0.0,0.0,4.723617333520807e-06,4.672833697307299e-06,0.0,0.0,1.3475885354344246e-07,6.668732328195908e-08,2.471841833835557e-05,2.570605136209172e-05,1.8828669935557844e-07,1.460120289570539e-07
0,1888,Stany Zjednoczone,58242459.0,56961007.0,6753.946255737588,6608.390279897966,3.433920947602848e-10,3.335615186718872e-10,3.183651638060131e-05,3.1712834711647564e-05,1.7169604738014237e-11,0.0,4.8903326695049056e-06,4.723617333520807e-06,0.0,0.0,2.0237813104697384e-07,1.3475885354344246e-07,2.4492818890081546e-05,2.471841833835557e-05,1.8488230381893733e-07,1.8828669935557844e-07
0,1889,Stany Zjednoczone,59552729.0,58242459.0,6574.954182872123,6753.946255737588,3.3583683461424584e-10,3.433920947602848e-10,3.2220286663941127e-05,3.183651638060131e-05,1.679184173071229e-11,1.7169604738014237e-11,5.819615755979881e-06,4.8903326695049056e-06,0.0,0.0,2.81666353190968e-07,2.0237813104697384e-07,2.374000358572988e-05,2.4492818890081546e-05,1.7676771789920826e-07,1.8488230381893733e-07
0,1890,Stany Zjednoczone,60843105.0,59552729.0,6834.957411986124,6574.954182872123,3.4515003795417743e-10,3.3583683461424584e-10,3.049017633140189e-05,3.2220286663941127e-05,1.6435716093056067e-11,1.679184173071229e-11,5.091406824158628e-06,5.819615755979881e-06,0.0,0.0,2.0095950066979652e-07,2.81666353190968e-07,2.2874325693930313e-05,2.374000358572988e-05,2.2250672446779303e-07,1.7676771789920826e-07
0,1891,Stany Zjednoczone,62112247.0,60843105.0,6792.208777248068,6834.957411986124,3.541974580311029e-10,3.4515003795417743e-10,3.233925831084488e-05,3.049017633140189e-05,1.6099884455959226e-11,1.6435716093056067e-11,5.9935039864199404e-06,5.091406824158628e-06,0.0,0.0,1.8817544952125144e-07,2.0095950066979652e-07,2.3947064739100487e-05,2.2874325693930313e-05,2.864008445870587e-07,2.2250672446779303e-07
0,1892,Stany Zjednoczone,63358765.0,62112247.0,6945.832227127533,6792.208777248068,3.630121262622464e-10,3.541974580311029e-10,3.243688540961933e-05,3.233925831084488e-05,1.5783135924445498e-11,1.6099884455959226e-11,6.269456167587863e-06,5.9935039864199404e-06,0.0,0.0,1.4121171711601385e-07,1.8817544952125144e-07,2.374419703414358e-05,2.3947064739100487e-05,3.3540742153039125e-07,2.864008445870587e-07
0,1893,Stany Zjednoczone,64581224.0,63358765.0,7476.118519153492,6945.832227127533,3.716250407393951e-10,3.630121262622464e-10,3.197460302084085e-05,3.243688540961933e-05,1.5484376697474796e-11,1.5783135924445498e-11,6.550588139983225e-06,6.269456167587863e-06,0.0,0.0,1.2039102882286655e-07,1.4121171711601385e-07,2.307269679496939e-05,2.374419703414358e-05,3.039273458180353e-07,3.3540742153039125e-07
0,1894,Stany Zjednoczone,65778137.0,64581224.0,6985.199661218742,7476.118519153492,3.648628722944829e-10,3.716250407393951e-10,3.2215749740677516e-05,3.197460302084085e-05,1.5202619678936786e-11,1.5484376697474796e-11,6.508317497651234e-06,6.550588139983225e-06,0.0,0.0,1.1079669222009131e-07,1.2039102882286655e-07,2.3452078005796973e-05,2.307269679496939e-05,2.8430419061579685e-07,3.039273458180353e-07
