country_order,year,country_index,PC1,PC2,PC3,PC4,PC5,PC6
9,1984,Japonia,0.21730964311178338,0.5359821541049813,0.18076743648593666,0.27168643356580613,0.16040449601250162,-0.18722914687910824
9,1985,Japonia,0.2381983131489168,0.5420290553775453,0.17858934642751598,0.2640977344252695,0.15591768084641236,-0.18688483753644633
9,1986,Japonia,0.25731213791983926,0.5369555255612058,0.1811820450322752,0.24982430649151532,0.14445896137960182,-0.18877696269164532
9,1987,Japonia,0.25964347819626626,0.531911530150835,0.1742078508785871,0.23725191330672574,0.1304649772050502,-0.20433115977309088
9,1988,Japonia,0.2603518396999749,0.5373827178694258,0.16390904858382477,0.23370289932494093,0.12391719774575814,-0.2193645059003811
9,1989,Japonia,0.29068457678803516,0.5507797604700444,0.16710092482438435,0.24308353448530276,0.1261656874795562,-0.2366673521227302
9,1990,Japonia,0.33676995013604555,0.5776306972394031,0.17281327211841843,0.2604170393376206,0.13569070655202903,-0.24988871440939636
9,1991,Japonia,0.39351898092299525,0.6073768732568822,0.17576633213155815,0.27124228273971135,0.14639830165254747,-0.24831906785037072
9,1992,Japonia,0.44530461731859994,0.6342310180234249,0.18031892461477986,0.27832183255698006,0.15472198230469164,-0.24303050567045179
9,1993,Japonia,0.46297764113489304,0.6493482721800806,0.17867537340993123,0.2817843425689314,0.15625889058859538,-0.24878070773437508
9,1994,Japonia,0.46727400915690487,0.6500628341892387,0.17745700283932397,0.2780546495600729,0.15367960902662595,-0.25073703699042754
9,1995,Japonia,0.4796209199120418,0.650280472424326,0.17606540981620356,0.27511773152826974,0.15424397233971907,-0.2481323432842376
9,1996,Japonia,0.5014687336138544,0.6578390066033959,0.17628233357825135,0.2762779888340389,0.15597299790840027,-0.24981880272667142
9,1997,Japonia,0.5211683365916978,0.666273850005039,0.18030184312724973,0.2766004228648052,0.15294920337078363,-0.2584567764648408
9,1998,Japonia,0.531880355328722,0.6655095092865567,0.18038170359912267,0.2701447878003632,0.14579799351626666,-0.265361269033798
9,1999,Japonia,0.5171090275388012,0.647562973605939,0.166710443698768,0.24796233052787348,0.12920641061043078,-0.270340361139421
9,2000,Japonia,0.5133298340482166,0.6299833568518729,0.15421480025165912,0.22494562194501125,0.11498381111757137,-0.2701712707128169
9,2001,Japonia,0.532626027183981,0.6277247156080943,0.1614385014095168,0.22038844701647609,0.11303837520201862,-0.26616117401797024
9,2002,Japonia,0.5433345236896356,0.6230201001176199,0.17091065845474562,0.2173043227103833,0.10801325814275949,-0.2707295475691698
9,2003,Japonia,0.5452733063132128,0.6113361032633354,0.17437062844054024,0.2081814178177116,0.10083779706049972,-0.2720919505489669
10,1982,Ukraina,0.45601544808219124,0.06080017748431483,0.2352290683858831,-0.05685158337799785,0.039991807213663286,0.35440049115124844
10,1983,Ukraina,0.4690927332876029,0.07791703905104144,0.20591023755886406,-0.0787096026012783,0.02757211091273145,0.3537766664390384
10,1984,Ukraina,0.4941827392358114,0.08487299175893755,0.1950129449176427,-0.09801224419336867,0.018049078990335417,0.3611595313436311
10,1985,Ukraina,0.5092963346194403,0.10592408428352378,0.18344747607214065,-0.11402113499803135,0.0137870321601936,0.3815136025785913
10,1986,Ukraina,0.5510588123481588,0.09989886378861025,0.19278656510377448,-0.13921575566517347,0.007093698184990243,0.4142813578840024
10,1987,Ukraina,0.5832067482255225,0.08481456505724266,0.20911289180179501,-0.15220845198719735,0.0035403974605573685,0.4317511167470287
10,1988,Ukraina,0.5857998643125395,0.1011596774526353,0.19886386482314258,-0.16913123011368394,-0.004152780120538257,0.4471975187653246
10,1989,Ukraina,0.6001101030519944,0.12151210682362985,0.17386315634393015,-0.20957286860316754,-0.02572183874750809,0.4682374833507916
10,1990,Ukraina,0.5903507646908736,0.13973990714637452,0.14229276281882947,-0.2322990067453237,-0.04548171369459058,0.4544056630591229
10,1991,Ukraina,0.5869408940096619,0.19980010173283275,0.05778913870941302,-0.26534705707412864,-0.05512895556570845,0.47047133601186725
10,1992,Ukraina,0.5776831308279455,0.24821454724373307,-0.03866381856598021,-0.32852631854158515,-0.08308168482714456,0.4954162258560882
10,1993,Ukraina,0.5176001017045367,0.21223268299995374,-0.03170545309624269,-0.3443551306749264,-0.11046737052254267,0.46179911117350986
10,1994,Ukraina,0.42284198397472567,0.13390699724925512,0.016352452938281126,-0.3228952720136659,-0.12628940991188423,0.39571484230127907
10,1995,Ukraina,0.3033619884805111,0.07730101100289988,0.006789860508347086,-0.3178711744539493,-0.1507312593745227,0.3206089606347065
10,1996,Ukraina,0.219690397269362,0.04729452946183599,-0.018399913421664832,-0.3227385005073438,-0.17074404807940752,0.2709169037779503
10,1997,Ukraina,0.18639931565822032,0.02891211103888535,-0.046699405155108814,-0.35130410589368716,-0.19912466113909957,0.2441348392511376
10,1998,Ukraina,0.17181244900353396,0.01607371672549583,-0.057985761790190944,-0.37133410828438423,-0.2204615899639038,0.22465992943234148
10,1999,Ukraina,0.17675525311045126,0.04101906191934382,-0.07783655671831059,-0.3956979174107427,-0.232983069568209,0.24190203879146244
10,2000,Ukraina,0.16540106213801706,0.05176220452043705,-0.09650938810200009,-0.40295677572219835,-0.2409234600408864,0.23284115392204072
10,2001,Ukraina,0.14234054291627693,0.025768412412913527,-0.07912982465107735,-0.37698926556785634,-0.23950428825140974,0.18782840044653162
10,2002,Ukraina,0.15721322075494773,0.028697694198470444,-0.0720521881459653,-0.37656519379037484,-0.24213179091894332,0.18377980490099444
10,2003,Ukraina,0.17322499097400879,0.027750627625745927,-0.05604459345109778,-0.363424702266078,-0.23863775137962867,0.17138799667434565
10,2004,Ukraina,0.20276049123442594,0.03273374401080565,-0.05494470844046782,-0.36005329150759735,-0.24111688790334487,0.15457217563702516
10,2005,Ukraina,0.24669834802021406,0.05481465046725601,-0.06076002447899469,-0.36797014339288575,-0.2470227725369854,0.15194299215901344
10,2006,Ukraina,0.2702191746974077,0.07133072040393947,-0.05459212599480636,-0.361318166530189,-0.24497083411982615,0.14801344168160976
10,2007,Ukraina,0.2987320418165785,0.07827880116659633,-0.03673365114468524,-0.34875854349850893,-0.23835869451615752,0.14568248472386564
10,2008,Ukraina,0.3268307863077606,0.07993477851077004,-0.00776297972261836,-0.32150302601006014,-0.2267525505313773,0.12900120157443407
10,2009,Ukraina,0.33575168787596726,0.08448786697573359,0.003116315501790925,-0.299580355209197,-0.2204677386650046,0.10418825666275243
10,2010,Ukraina,0.2790705870101566,0.04292408831545493,-0.006849364250189401,-0.2935879449318687,-0.23169677468570876,0.05582409101592069
10,2011,Ukraina,0.24985101659206535,-0.0034015283372941705,-0.019424473740160292,-0.31114596046612597,-0.25152432617357867,0.02632603223421167
10,2012,Ukraina,0.2958747619492102,0.005356090662735096,-0.015244739215026885,-0.3233568509592598,-0.25551011672154456,0.03928837332204257
10,2013,Ukraina,0.3106841480967721,0.0014131455742859022,-0.003701821854678448,-0.31269048511433084,-0.2493712396064769,0.0364478660642917
11,1930,Meksyk,-0.3502966886325754,-0.03170449990576099,-0.09095290711531713,0.001596103982555423,-0.0807176454282548,-0.01235085582292507
11,1931,Meksyk,-0.35950871903413717,-0.035962224789287976,-0.0891038130071563,-0.0046286466408188495,-0.08422533321006213,-0.006539326511556169
11,1932,Meksyk,-0.37039921840117035,-0.0395449857124902,-0.08789554122230936,-0.009096939611995262,-0.08792856670201236,-0.005054091776443658
11,1933,Meksyk,-0.3804435612394331,-0.04081247959114846,-0.08875455446905417,-0.011191074540670663,-0.08891444544961898,-0.0026996645068036403
11,1934,Meksyk,-0.3834215376515009,-0.04071514537844677,-0.08822629200042528,-0.010954335273470246,-0.08731918452744189,0.0008078488881484389
11,1935,Meksyk,-0.3809587221787866,-0.03610531949720287,-0.08759275227504304,-0.007932431317643212,-0.08484714369229575,0.0007756080725550462
11,1936,Meksyk,-0.37594947860771205,-0.02935757120595942,-0.08654265256391754,-0.004443747621032473,-0.0810331360029728,0.0033682376143145463
11,1937,Meksyk,-0.3708941635304371,-0.02339183105091461,-0.0839510015533393,-0.0014734298876613455,-0.07772481637907816,0.006789723317996337
11,1938,Meksyk,-0.3678079644921482,-0.017644310560476387,-0.08458316997069011,0.000242973914245551,-0.0751413508178377,0.009242532523596825
11,1939,Meksyk,-0.3671879953585476,-0.012631269586040708,-0.08569709075367582,0.00036681411126870516,-0.0735974835234893,0.012413636513902168
11,1940,Meksyk,-0.3718892021138453,-0.009706372199362616,-0.08483994450779789,0.00020581502667847132,-0.07403582903695007,0.01263293660479096
11,1941,Meksyk,-0.3683001007039276,-0.018250668070537143,-0.09497743296324003,0.009142572937078262,-0.06129967810256336,0.018795000606471945
11,1942,Meksyk,-0.36030817773625035,-0.0314801253469638,-0.1085006517037877,0.022804746694057937,-0.04285622039621661,0.026451371056611286
