year,country_index,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8
1930,Argentina,-0.07810623659558173,0.03345447390317758,-0.03821456225829291,-0.03037612933687884,0.0013765705353123636,0.0009282615744104199,-0.0006225659383203087,-0.0007901967717082371
1931,Argentina,-0.08343072131133679,0.02022369501023026,-0.023876926971190218,-0.029258654954901014,0.00231792556802459,-0.014613062630426952,0.003651708797975081,-0.027755569545713066
1932,Argentina,-0.08663131985052756,0.012087088236027652,-0.015638903550241244,-0.028758524456363562,0.0017835145351536665,-0.01236150286363111,0.001555500042968037,-0.017560512617743686
1933,Argentina,-0.08830748664804355,0.0075179682064322245,-0.011245280054125504,-0.028622381285188427,0.0008068852772788826,-0.0096633537297454,0.0008739360375518779,-0.008874687285683606
1934,Argentina,-0.089231572488049,0.004407376102730132,-0.007933386701518127,-0.0284638298106478,0.0005624183201364806,-0.008697537618908867,0.0007895235735225957,-0.0051931271011364435
1935,Argentina,-0.08981581415130507,0.0022723959851892513,-0.005426567925269805,-0.028317719538178014,0.000667957974511104,-0.008230663885281524,0.0008597706148280105,-0.002728454931305986
1936,Argentina,-0.09063441690378246,0.0007234444432872373,-0.003391700649637958,-0.02816063456923824,0.0004652877492290075,-0.007969819181446645,0.0027334740761231803,-0.0014323166345345502
1937,Argentina,-0.09078845977547183,-0.0006137086586116496,-0.0016323186191255408,-0.028049494402408174,0.0008822207295507037,-0.007673137773974677,0.0021650364860994462,-0.0005478670234290423
1938,Argentina,-0.08776165645158408,-0.0025687260932940707,-0.0013326647544096015,-0.029212738213792385,0.0012749137346767096,-0.010899555526494496,0.00276879909588006,0.0009926255500608456
1939,Argentina,-0.08795079867354068,-0.003401241139149969,-0.0004753194605160686,-0.029166600585583097,0.0008082537658276555,-0.010460924222275276,0.0029811903682334003,0.0015254756813932655
1940,Argentina,-0.08808458541535999,-0.004384877786309852,0.00041845549157834664,-0.02917288087273412,0.0005137662730869602,-0.01066965803285068,0.002433601377005244,0.0012912205170924783
1941,Argentina,-0.0907066827451381,-0.011889345334304297,0.0082953885778537,-0.028655843481469427,0.0005922502552632088,-0.017659905960419775,0.00433294902934537,-0.012157283405256377
1942,Argentina,-0.09234845407067903,-0.016017399608227907,0.012553692239163385,-0.028376145997710028,4.953994046433806e-07,-0.01571122525762473,0.003756948068484847,-0.005721708691191867
1943,Argentina,-0.09350559455566497,-0.01911693493240691,0.015640659267173604,-0.028213364398613404,-0.0004997440617256614,-0.015183102544958024,0.0031887413156970706,-0.0027841911752039517
1944,Argentina,-0.09396255624798702,-0.021444627581055142,0.018526278986245835,-0.028107149649860566,-0.0002972440287186478,-0.014514220049717514,0.003935988194622663,-0.0009360490880846563
1945,Argentina,-0.09486421556367984,-0.023174958548430328,0.020800595809150783,-0.02780632819083579,-0.0002953527171451606,-0.014775972674318887,0.004504655309510202,0.0006126015012527518
1946,Argentina,-0.09530208847664565,-0.024733087638573986,0.022810388291790412,-0.027674425572308148,-0.0004004971140339461,-0.01456087099858017,0.005264815672418844,0.0014650131695496244
1947,Argentina,-0.09543264851322543,-0.025988982413028713,0.02481285161282855,-0.027491295361353026,4.862237024544245e-05,-0.014352013269410513,0.005610283782008479,0.002192822193720691
1948,Argentina,-0.09532758765443544,-0.027226081930225205,0.02655326362121298,-0.02732295385851538,0.0007266998570370533,-0.01414555347508401,0.004165736187895402,0.0023331059595844686
1949,Argentina,-0.09572998351000316,-0.028153853458261553,0.02785259890468307,-0.027269593736661397,0.0006624211116513633,-0.014391991200561362,0.005063609234182611,0.003158324638342003
1950,Argentina,-0.09603294266110012,-0.02952248600189873,0.028904825376404198,-0.027088008907859923,-0.00019441418451107226,-0.01467895280653582,0.0036430507654398505,0.002615816185681098
1951,Argentina,-0.090712410925289,-0.024405963402569578,0.02389680184312817,-0.028255430400449102,0.0036148274756806365,-0.0038823167161007254,-0.0048405037726836145,0.013241474786320203
1952,Argentina,-0.08927998270302712,-0.022933928258214664,0.02066281470939922,-0.028600653955988643,0.0007114956192903508,-0.00709681774162248,-0.004645085662069793,0.008514190694689667
1953,Argentina,-0.0882705680691688,-0.020973312463686014,0.01892996406208564,-0.02901425240919511,-0.00024573227188331656,-0.006037555800222249,0.0013225141083992626,0.006475410230752166
1954,Argentina,-0.08765435663891555,-0.019379864953254815,0.017904262957573122,-0.029083681368862156,-0.0004674799418171347,-0.005554675862412707,0.004517023861756097,0.005112848215778603
1955,Argentina,-0.08638074248659491,-0.018428421358597513,0.017343855595482106,-0.02911970546704189,0.0003728901153879508,-0.005270160340302858,0.002695846296983405,0.003953859706220165
1956,Argentina,-0.08512025288560587,-0.01782255491074171,0.01681492483265962,-0.029270144910629212,0.0009818408989093015,-0.004492402943332075,0.0009107651285283449,0.0026439272471062004
1957,Argentina,-0.08359989325777806,-0.017352571536246107,0.01656181879320862,-0.02951113197587592,0.0017529943648301486,-0.0034831735201479013,-8.92196208985295e-05,0.0019206419690138944
1958,Argentina,-0.08235089877478298,-0.017226826502414933,0.01647739358940597,-0.029758772776284723,0.0018318023221881477,-0.0025650964878315796,0.0001664046456883314,0.0007588400495934967
1959,Argentina,-0.08046878593103786,-0.01712873431367765,0.014453843209563793,-0.030889476722223235,-0.0006786928607200972,-0.006674116787361737,0.007632539999568298,0.0032292214361879126
1960,Argentina,-0.07830925991112846,-0.016973425349253602,0.014237478249868837,-0.03116255656128017,0.0013717251495225968,-0.005073579289109632,0.00078071462195193,0.001270915187870726
1961,Argentina,-0.07956179772485382,-0.02207818432458235,0.01997531752162629,-0.030687131963587667,0.0014131740662256386,-0.011260986148019531,0.0032304874984429898,-0.009139840661822522
1962,Argentina,-0.07519870145548069,-0.013588325202479537,0.009776254400250733,-0.031523335105048685,-0.00019565840692318973,0.0029478172932631977,-0.00547112613452802,0.018337918831402556
1963,Argentina,-0.07424961904451363,-0.013621927652151884,0.009407608767081157,-0.0317798445308096,-0.0003338493168793401,-0.003435168352285109,-0.0030157620430579404,0.001046906059813819
1964,Argentina,-0.07447834722095364,-0.013022124316936185,0.009060379847003646,-0.03191948532715643,-0.0027255358556462425,-0.0034974350065108246,0.004954097602549307,0.0014507855645371872
1965,Argentina,-0.07104179283518675,-0.0113602412723333,0.00838570070571199,-0.03206501228130774,0.0011761614640067814,-0.00017250548220862442,-0.002677396987741733,0.0026960191248796028
1966,Argentina,-0.06468056948414642,0.003282797549418909,-0.007594080626371784,-0.03341171070856136,-0.0011178889549197742,0.015609810069846733,-0.004730514868133761,0.029029273066469723
1967,Argentina,-0.059257642687167905,-0.008566660925824768,-0.015619223923015476,-0.004491010527668514,0.00465100246549241,0.00114076399008254,4.7477098825381444e-05,-0.002965366799491652
1968,Argentina,-0.051524283512247124,0.0059652940000502665,-0.034326279117897665,-0.0020328863058306427,0.0018052746894256996,0.022166111621437227,-0.0006525883708784262,0.029838234872657247
1969,Argentina,-0.041031891434212736,0.025658440815205602,-0.05504486332279846,-0.002812684736951214,0.0029998229101086205,0.03299033060712635,-0.005944062008919854,0.03688751681825473
1970,Argentina,-0.04878876405726383,-0.0016717456706261719,-0.024415718451770627,-0.0016454401277436659,0.009212949095162138,-0.013328751517443704,0.004944914158384799,-0.061140545846785105
1971,Argentina,-0.0533431414738725,-0.016579942884602798,-0.009696324865770505,-0.001404616618012548,0.007447775244630403,-0.007081500741280206,0.0018364858613141302,-0.03790262638786515
1972,Argentina,-0.054754606422777616,-0.02431272749221736,-0.001958626513639168,-0.0009516818796913323,0.007461010932195241,-0.0004849244960696859,0.0007117149184414599,-0.021539387520900635
1973,Argentina,-0.056087390139259036,-0.029065053445339335,0.0023046552758983737,-0.002477661291670992,0.0038319928264352954,0.0020311343725778687,0.00210231681201943,-0.01404310088336201
1974,Argentina,-0.05468656802877427,-0.03458253868131308,0.003926722569682208,0.002104015533160316,0.004388125707888564,0.0034472529598405036,-0.0007591374846787987,-0.011284957239703564
1975,Argentina,-0.0523144772440151,-0.03665068215237415,0.005549264341379943,-0.0001701896986906381,0.0036064673792442787,0.0015330568988413402,0.005666078524439785,-0.006726387935625202
1976,Argentina,-0.05150959736341733,-0.041894161435432,0.00345486146395007,0.010372387563692815,0.0038026100781441696,0.0006042926220271615,0.0076454153587885935,-0.004913793878978658
1977,Argentina,-0.04721565920213446,-0.049702246907786664,-1.5719665761184636e-05,0.026700658165256328,0.0077085421438089375,0.0019266340199670454,0.0043518299807268545,-0.0054995376219815
1978,Argentina,-0.04783746762135356,-0.05089691491466276,0.0005601719339273877,0.02734980989523258,0.005579804887023246,0.0026604746375209734,0.008320832431322927,-0.003975529180755919
1979,Argentina,-0.04571868194097106,-0.05510170600026613,-0.0009248345967620405,0.03763964205889644,0.007971131852745436,0.0036094824008304914,0.013253044118054063,-0.003498427070061779
1980,Argentina,-0.04250860763611196,-0.05873225447274801,-0.0014271668527137428,0.04115972631497326,0.009653409731197951,0.004370902301809549,-1.2842983180813901e-05,-0.005492587122417
1981,Argentina,-0.04487018387758227,-0.057157675857680654,0.0005082665922237499,0.03557809513563512,0.00504854934825281,0.0036354342315572407,0.007105898792277634,-0.002993807795020053
1982,Argentina,-0.04154729456742556,-0.03327366591078834,-0.016814672139713254,0.02201367893562436,-0.00266398271627872,0.024515868165019064,0.008012207698018619,0.03739045412014501
1983,Argentina,-0.04238287373924784,-0.048144712587143014,-0.006562512520807949,0.0292769841572984,0.002244062815457822,-0.006065883723890678,0.0011593368386633926,-0.024995440399034
1984,Argentina,-0.04310488766806371,-0.05020986226732507,-0.0007463459808223481,0.024223065369030985,0.0012333116040566141,-0.0006367898262081209,-0.0019487643887293768,-0.010833557430153797
1985,Argentina,-0.04141098966692509,-0.060575232532480504,-0.007683338810758439,0.048451646935698936,0.002116645738418973,-0.0010645569879327943,0.006605692168667027,-0.004638717301829751
1986,Argentina,-0.04394298454300906,-0.05740352455584179,-0.0016389395079940085,0.03546615028992654,-0.003031978779355133,0.000694768664633581,0.011030750079800155,-0.0026037516759271385
1987,Argentina,-0.04480118540043162,-0.05404517677030578,0.00827517539145736,0.019721004017346333,2.2623671893146694e-05,-0.0007054583948278546,-0.0003240144654639927,-0.005690003686935242
1988,Argentina,-0.04242176446944839,-0.06006579996686835,0.010412732428184539,0.020082702553117168,0.00045337779909979456,-0.0042819823119537035,-0.019882153736776674,-0.007929111635746302
1989,Argentina,-0.03923364160608853,-0.06470656371918981,0.001723404561185155,0.03238743381044449,-0.004052941800758465,-0.000759915926607018,-0.01701925879715874,0.0043571608905656235
1990,Argentina,-0.04019679732734667,-0.06520655757902548,-0.0018057721670506981,0.03567057279199852,-0.010964120068336863,-0.0004760429425988323,0.003593769551035822,0.004931187264776484
1991,Argentina,-0.039374335330046605,-0.05732623704736955,0.004737848649799558,0.01588692970446011,-0.011910116563451228,0.00025971779736897377,0.01724325300258993,0.004353669690248579
1992,Argentina,-0.030311339314519705,-0.044136783637862026,-0.004747225696580269,0.00795792687634713,-0.008074371880810543,0.012779759106718037,-0.01392587655625046,0.02560402442787847
1993,Argentina,-0.0321195750799294,-0.05164040363661295,0.005890637208086026,0.0072326399136501485,-0.006138669115962937,-0.00430381561515499,0.0031060234343020287,-0.014457385836770788
1994,Argentina,-0.03462430536634981,-0.05309059400382436,0.007289554111405164,0.016453025619797224,-0.004715586574043574,0.005136616890161802,0.03983120354408713,-0.0016107978866747336
1995,Argentina,-0.037541264651910905,-0.04315140770610443,0.018034074958468406,-0.017236419440734976,-0.00887011018052583,0.004026569808339843,0.0012590644661057211,-0.0005945274034308737
1996,Argentina,-0.02991698244990152,-0.052401397196296856,0.009851222588031392,-0.005019558287811918,-0.009793460862317601,-0.000931553433745958,-0.035632978858159865,-0.0010430821984782565
1997,Argentina,-0.0289970257960436,-0.04898320038727206,0.014828401094262858,-0.016081972704562512,-0.012322045004778025,0.004615048705866265,-0.013883700673374582,-0.0011512296386647857
1998,Argentina,-0.02545964253930769,-0.04851763160677975,0.015083009623102758,-0.015053035427344482,-0.009452073083857029,0.00676693794815702,-0.012544004451116671,0.002615916131967396
1999,Argentina,-0.027167779413775735,-0.04392964196363808,0.014808304949488139,-0.02228302619524034,-0.014271819312338849,0.009610297476498785,0.0028626478665384164,0.005009654685989955
2000,Argentina,-0.023102412746848024,-0.04959412673508384,0.013814948000029846,-0.01980725111648508,-0.013941044668339843,0.003838949940053,-0.023752934966186502,-0.0037246213568420026
2001,Argentina,-0.02738667726603515,-0.04722081133505644,0.014641618965369706,-0.025714846391297487,-0.022560839795113485,0.004808899954279207,0.0015060832890753937,0.0016988516249283403
2002,Argentina,-0.029699450747207753,-0.04489904134354683,0.014201261566891233,-0.025463358401648296,-0.023153599821188434,0.0010722359051082238,0.028045352752921297,0.0057457633131166265
