country,population,gdp,primary_energy_consumption,cement_co2,coal_co2,consumption_co2,flaring_co2,gas_co2,land_use_change_co2,oil_co2,other_industry_co2,trade_co2,co2,co2_including_luc
Algeria,0.0,58.95953757225434,66.47398843930635,45.08670520231214,38.15028901734104,100.0,38.15028901734104,38.15028901734104,0.0,38.15028901734104,100.0,100.0,38.15028901734104,38.15028901734104
Angola,0.0,60.115606936416185,75.72254335260115,57.80346820809249,57.80346820809249,100.0,57.80346820809249,57.80346820809249,0.0,57.80346820809249,100.0,100.0,57.80346820809249,57.80346820809249
Bangladesh,0.0,60.115606936416185,69.94219653179191,55.49132947976878,55.49132947976878,81.5028901734104,55.49132947976878,55.49132947976878,0.0,55.49132947976878,100.0,81.5028901734104,55.49132947976878,55.49132947976878
Benin,0.0,60.115606936416185,75.72254335260115,62.42774566473989,57.80346820809249,81.5028901734104,57.80346820809249,57.80346820809249,0.0,57.80346820809249,100.0,81.5028901734104,57.80346820809249,57.80346820809249
Bhutan,16.483516483516482,100.0,84.61538461538461,0.0,80.58608058608058,100.0,80.58608058608058,80.58608058608058,36.63003663003663,80.58608058608058,100.0,100.0,0.0,36.63003663003663
Bolivia,0.0,31.213872832369944,75.72254335260115,45.08670520231214,45.08670520231214,81.5028901734104,45.08670520231214,45.08670520231214,0.0,45.08670520231214,100.0,81.5028901734104,45.08670520231214,45.08670520231214
Cambodia,0.0,60.115606936416185,75.72254335260115,63.005780346820806,60.69364161849711,81.5028901734104,60.69364161849711,60.69364161849711,0.0,60.69364161849711,100.0,81.5028901734104,60.69364161849711,60.69364161849711
Cameroon,0.0,60.115606936416185,75.72254335260115,57.80346820809249,57.80346820809249,81.5028901734104,57.80346820809249,57.80346820809249,0.0,57.80346820809249,100.0,81.5028901734104,57.80346820809249,57.80346820809249
Cape Verde,0.0,60.115606936416185,75.72254335260115,57.80346820809249,57.80346820809249,100.0,57.80346820809249,57.80346820809249,0.0,57.80346820809249,100.0,100.0,57.80346820809249,57.80346820809249
Comoros,0.0,60.115606936416185,75.72254335260115,63.005780346820806,63.005780346820806,100.0,63.005780346820806,63.005780346820806,0.0,63.005780346820806,100.0,100.0,63.005780346820806,63.005780346820806
