country_order,year,country_index,country_t-2,population_t-2,gdp_t-2,temperature_change_from_co2_t-2,total_ghg_t-2,cement_co2_t-2,coal_co2_t-2,flaring_co2_t-2,gas_co2_t-2,land_use_change_co2_t-2,oil_co2_t-2,country_t-1,population_t-1,gdp_t-1,temperature_change_from_co2_t-1,total_ghg_t-1,cement_co2_t-1,coal_co2_t-1,flaring_co2_t-1,gas_co2_t-1,land_use_change_co2_t-1,oil_co2_t-1,co2
8,1995,Kanada,19,0.020441879415555496,0.6829420232565769,0.9451683753911229,0.5600358283762628,0.21515025346535352,0.22309040699427793,0.025704128418306948,0.7184194149832337,0.15687312715467694,0.41128033092699623,19,0.020513822754988788,0.7083824924853416,0.9348971528367264,0.587850890661258,0.23746756692782336,0.22886890762955964,0.02787108588424156,0.7271959793900618,0.16648078220906942,0.41691269572091066,0.3333097977639496
8,1996,Kanada,19,0.020684053114355203,0.7083824924853416,0.9348971528367264,0.587850890661258,0.25091223583803485,0.22886890762955964,0.02787108588424156,0.7271959793900618,0.16648078220906942,0.41691269572091066,19,0.020750735748273658,0.721832955682772,0.9250035182445421,0.5721009663925819,0.26590712814774564,0.23048611704981242,0.02806822800365551,0.756670140657768,0.15216213112644322,0.4177231932680321,0.3492163085940622
8,1997,Kanada,19,0.0209224093396568,0.721832955682772,0.9250035182445421,0.5721009663925819,0.28096195582405825,0.23048611704981242,0.02806822800365551,0.756670140657768,0.15216213112644322,0.4177231932680321,19,0.02098485217819354,0.7280238547285076,0.9612017608189236,0.6017439721318841,0.2492900180286478,0.23231901084367593,0.030033404570344462,0.7830431530469103,0.16328398526099852,0.42642914965228174,0.33936663461158856
8,1998,Kanada,19,0.021157951965424436,0.7280238547285076,0.9612017608189236,0.6017439721318841,0.26340403704344034,0.23231901084367593,0.030033404570344462,0.7830431530469103,0.16328398526099852,0.42642914965228174,19,0.021206659929628998,0.7542132402350132,0.9518683873088584,0.5802070754782894,0.26570889169052303,0.24480186717349076,0.03000534244194551,0.7687273409428695,0.1499807864269629,0.4375401802420438,0.3486450440619056
8,1999,Kanada,19,0.021381110930417196,0.7542132402350132,0.9518683873088584,0.5802070754782894,0.2807524958403231,0.24480186717349076,0.03000534244194551,0.7687273409428695,0.1499807864269629,0.4375401802420438,19,0.021412512071170082,0.7788187984637123,0.9433671234558069,0.5975980686418589,0.27010018191456936,0.2558103724588211,0.03289413013189002,0.7457660289135724,0.15792415739361845,0.4391819887747411,0.35794161408677894
8,2000,Kanada,19,0.021588217086764578,0.7788187984637123,0.9433671234558069,0.5975980686418589,0.28539240714519637,0.2558103724588211,0.03289413013189002,0.7457660289135724,0.15792415739361845,0.4391819887747411,19,0.02161730714215663,0.8146421929711218,0.9795854844516818,0.6123362150521772,0.2790921144690812,0.2542445644391484,0.029486480715007174,0.8005473057109594,0.16333846181614758,0.4408035117988593,0.3558545106715312
8,2001,Kanada,19,0.021794259733070726,0.8146421929711218,0.9795854844516818,0.6123362150521772,0.29489343472107216,0.2542445644391484,0.029486480715007174,0.8005473057109594,0.16333846181614758,0.4408035117988593,19,0.02183946826369119,0.8517230418197815,0.9703152580584131,0.6164036194109854,0.28087851435237016,0.2717239147053964,0.0291692415375159,0.8440402490336544,0.1547094398248919,0.44085225985068766,0.3657686624818563
8,2002,Kanada,19,0.022017774220830684,0.8517230418197815,0.9703152580584131,0.6164036194109854,0.2967809749633701,0.2717239147053964,0.0291692415375159,0.8440402490336544,0.1547094398248919,0.44085225985068766,19,0.02208399809246717,0.8606633269619801,0.960312395112194,0.6271771064427724,0.26841193181612866,0.2637675171335118,0.02782446920612395,0.7971758512841047,0.16963991884255086,0.44336629230304975,0.34602875120495125
8,2003,Kanada,19,0.022263793682036865,0.8606633269619801,0.960312395112194,0.6271771064427724,0.2836085736207543,0.2637675171335118,0.02782446920612395,0.7971758512841047,0.16963991884255086,0.44336629230304975,19,0.02232869966671067,0.8802660857942883,0.9937117094758083,0.6025302796630769,0.27194873141942916,0.2558973448090201,0.028181786059297175,0.8188573330135199,0.1504724058134992,0.44069050964816975,0.3495031739195306
8,2004,Kanada,19,0.022509985934953552,0.8802660857942883,0.9937117094758083,0.6025302796630769,0.28734561572572914,0.2558973448090201,0.028181786059297175,0.8188573330135199,0.1504724058134992,0.44069050964816975,19,0.02255736735768301,0.8900111792550646,0.9843195973246013,0.6126888831499845,0.2731469795702374,0.2516998781522295,0.027002971263120984,0.8228769607954176,0.14953014676317186,0.46512197840299463,0.3530765435916149
