country,MAPE,MAE,RMSE,R2
Arabia Saudyjska,0.026252836792983198,16.257386751125264,19.387101225121686,0.8995208633245113
Argentyna,0.016235209755439704,10.567089085674334,15.106104034354676,0.690791937140707
Australia,0.045614905642025486,25.934786078763906,35.30246911471201,0.6381874466839665
Belgia,0.020322063217162657,13.871078635654595,14.544478069667797,0.0
Białoruś,0.01598111112832033,10.970193216332333,12.00870931814893,0.0
Brazylia,1.7969892682999538,79.93248919007885,99.45050515614004,0.8819175466683041
Chile,0.0056733665353279235,3.994288705576558,4.649271899416205,0.36225673867609587
Chiny,0.5875442913175599,178.8015474278091,211.59247600047885,0.8889494499392729
Czechy,0.019571450409489186,12.966457098446966,14.148551488370407,0.0
Demokratyczna Republika Konga,0.025939336429750177,14.860686827072652,27.782242733549527,0.719562351372029
Egipt,0.006810387815242509,4.739964199077698,5.7406570764321545,0.9239695706762037
Filipiny,0.020641603908293737,13.601413340793892,16.408600136721777,0.7064088650469678
Francja,0.019347942214879645,11.482697427308352,13.82761828275914,0.9367569168249553
Hiszpania,0.008753310442838487,5.854645810980274,6.906756222750173,0.9620045402789185
Holandia,0.014622636054544759,10.375367192051185,11.049303125767063,0.705807082888696
Indie,0.06486743319307706,28.44924825180117,33.57040851259992,0.8323311665961172
Indonezja,0.05739032641165596,23.216644928470576,40.86032171614163,0.7296830992302124
Iran,0.025192806696039533,15.198185547314754,20.533444855609513,0.8516366865097252
Japonia,0.10729361257250476,32.32271689487345,41.85120145921695,0.9441334986152204
Kanada,0.045772039353233505,20.686222578829202,23.775040678235502,0.7645400728051985
Kazachstan,0.01863076408693403,12.47667379412692,17.16834781523997,0.6826822091579096
Kolumbia,0.03433350745227898,22.49799274174621,30.257823169366592,0.5486910730351867
Korea Południowa,0.035368188766938743,25.468560376450714,27.795455157595853,0.7040791737982429
Malezja,0.026985071416727714,18.37244923600982,21.328965068647562,0.6874682075117213
Meksyk,0.020468045939705724,12.141715450142902,16.20442970461257,0.9372681066488747
Mjanma (Birma),0.05125472985648316,33.11727816744046,42.972396600475584,0.0
Niemcy,0.10579964117554096,38.687838816208306,46.56171638316475,0.7764007386647038
Nigeria,0.03688335322952243,24.5917441971677,26.874721567911088,0.13488742800803966
Pakistan,0.037935752087979634,26.496042581525533,27.662712027821183,0.0
Peru,0.04211690613968015,29.55786501029627,30.343486360959318,0.0
Polska,0.022246931782681736,13.663119920342542,15.716266019169826,0.8562747792311364
Republika Południowej Afryki,0.01801316817141969,10.67567267313412,12.13741970233664,0.9332032910753312
Rosja,17.816086657671534,98.00514770430819,112.35103012037686,0.7155633055412038
Rumunia,0.037521622316785616,25.77454062010587,27.151714766249153,0.0
Stany Zjednoczone,1.733770508624907,101.49195714201475,118.26992163807552,0.9453630638117095
Szwecja,0.05662354998733955,40.13930814457692,40.25259397968243,0.0
Tajlandia,0.04796893339589255,28.934968566376376,32.99610339898911,0.0429344059922484
Tanzania,0.049941580724271586,34.47392067554822,36.94865071089291,0.0
Turcja,0.04732767890795219,31.76426986676273,33.227627809684385,0.0
Ukraina,0.06238732933294065,30.658928410981353,33.8968091912376,0.8095093491237997
Wenezuela,0.05583046075553212,38.78927866654364,40.52583822792716,0.0
Wielka Brytania,0.027104872107882615,13.268288666642274,16.899288465750256,0.5174614828058475
Wietnam,0.05951111945712836,40.84565375631133,42.38782349004691,0.0
Wybrzeże Kości Słoniowej,0.056111135319302154,38.41809972357587,41.342700485979194,0.0
Włochy,0.057751326875635695,37.80528256796825,39.93266916906482,0.5700655732497295
Overall,0.48449546490953116,31.149416049046017,50.9863502181916,0.974946289564021
