country,MAPE,MAE,RMSE,R2
Stany Zjednoczone,0.1815061730172836,958.1832111790371,1269.8417760286654,0.8780325887818223
Chiny,0.29159121721531145,2015.9558250333832,2385.73865398462,0.7266161395562154
Rosja,0.22062117594124456,783.5231056001236,950.1726190572805,0.6060479245197997
Brazylia,0.5539878262755429,898.1792613890424,1112.5438363261785,0.7138376394899668
Indie,2.7814572378227878,218.29816631564466,266.85496533936225,0.7948381855372268
Niemcy,0.6217816159116029,369.6191555771359,453.2130399895861,0.5897731699450097
Indonezja,0.5269186091977938,223.09368920385924,371.278043743778,0.5678096804351609
Wielka Brytania,2.797551309109504,223.56966746119016,249.09306601847075,0.0
Kanada,2.3687762010863738,109.01531374592845,129.87646881774182,0.8639362998125883
Japonia,0.5707156869991554,185.41138427275249,209.70230225703733,0.9728388048373361
Ukraina,0.47263538036461517,281.89709701225695,305.22025359304007,0.7009184719396204
Meksyk,0.546057547083655,206.7730457058507,235.0276488140445,0.7444560109368772
Francja,0.19103782806704192,83.3847036239381,107.89057539291271,0.925442359921958
Australia,1.4322901752723445,194.32972170406097,267.9535377372849,0.5963552363781748
Republika Południowej Afryki,0.7052541901506009,340.88925522830755,347.48612248342516,0.0
Polska,0.3136363986528949,212.55989861707977,225.4056833945629,0.4275061427662724
Włochy,0.4812847524093604,388.2356899422284,392.6475325541375,0.19506992928637534
Kolumbia,0.220497814643737,161.85793223535697,220.09119359168076,0.5376075234200015
Tajlandia,3.6614989277970715,373.97663588169365,423.883975662005,0.0
Demokratyczna Republika Konga,0.3370988667634868,119.84266073736799,223.63770134074045,0.6481167305848075
Argentyna,0.08291190598330955,97.81006361594176,130.12018960751286,0.5557349928626476
Iran,0.33890755637905584,169.40879722254064,225.92584615067898,0.6521903787071529
Malezja,0.1538896620856686,159.85689190647878,190.91160311095913,0.5151290661309369
Kazachstan,0.10735012905315092,109.27863612177235,122.64177928816336,0.6864396316795172
Arabia Saudyjska,0.3285665477295661,108.56065232700172,125.27062622485735,0.9187626962382381
Turcja,0.31178935282419384,382.3390452936686,389.05528719032225,0.0
Hiszpania,0.05533982233606877,55.711707227075884,76.93826953388475,0.9086990826242441
Korea Południowa,0.08582970533885091,83.71555753493308,117.53262071688212,0.8975406360434466
Filipiny,0.09157186887051512,98.88698704742957,126.40896044425328,0.662586496971595
Nigeria,0.1460413864730043,147.67866151399767,180.02018061648178,0.24831838648016125
Wietnam,0.3172587178370931,399.0095804133675,410.9127339732946,0.0
Wenezuela,0.2542358368077421,333.29193470711954,341.90163939871894,0.0
Holandia,0.0342628961306973,46.450254994936984,66.6665943038109,0.7926109414076724
Belgia,0.03672563644799985,52.13850785604924,67.37835675083397,0.2525080915775578
Czechy,0.055291582497003965,64.81874249071492,79.16056718589975,0.14389499008269158
Rumunia,0.24744479587165372,312.2215557865051,320.18483945602424,0.0
Białoruś,0.04440777189360154,64.33621481102368,74.47246447394062,0.2097925691390179
Wybrzeże Kości Słoniowej,0.3686636942878594,450.86475586223384,467.03299820490577,0.0
Mjanma (Birma),0.19552811740052803,151.84586246195678,296.2857763012798,0.0
Peru,0.13204350904930734,188.5394490708966,196.03337607564507,0.0
Pakistan,0.13476381138003377,188.46769802772857,197.9940100262051,0.0
Chile,0.06314830801838935,96.37392535141036,100.18158922965891,0.0
Egipt,0.04016312548583364,57.09190218277128,67.08809446320863,0.7989231785326574
Tanzania,0.2666901017094135,349.37548413011643,367.3290378812392,0.0
Szwecja,0.15510157345611053,236.75896425112387,237.86208586886045,0.0
Overall,0.5119487123878544,287.94678878030396,524.9530771020565,0.9485705309848107
