year,country_index,population,gdp,temperature_change_from_co2,cement_co2_lag_1,cement_co2_lag_2,cement_co2_lag_3,coal_co2_lag_1,coal_co2_lag_2,coal_co2_lag_3,flaring_co2_lag_1,flaring_co2_lag_2,flaring_co2_lag_3,gas_co2_lag_1,gas_co2_lag_2,gas_co2_lag_3,land_use_change_co2_lag_1,land_use_change_co2_lag_2,land_use_change_co2_lag_3,oil_co2_lag_1,oil_co2_lag_2,oil_co2_lag_3,co2_including_luc
1931,Argentina,0.0073222518889763865,0.006479782770002126,0.026143790849673203,0.00036700383120930676,0.00037014424989416855,0.0002817934696792656,0.0015348104615887166,0.0016963028710960675,0.001872348504539609,0.0,0.0,0.0,0.00038642935024543377,0.00038983401412424814,0.0002527962930019687,0.17061565774319046,0.1900367123619125,0.18971599173921108,0.0015863252034001621,0.0016544520286148508,0.001600584306352074,0.04365363390246293
1932,Argentina,0.00750266213115999,0.006260529112608317,0.026143790849673203,0.0005145820913781286,0.0004020532369540107,0.0004226902045188984,0.0013132563464289709,0.0016551235440967398,0.0018807112392894838,0.0,0.0,0.0,0.00048005760691282955,0.00038642935024543377,0.00038983401412424814,0.15781159733891198,0.17061565774319046,0.1900367123619125,0.0020069687404815537,0.0015863252034001621,0.0016544520286148508,0.04150553320895282
1933,Argentina,0.0076651011585290784,0.006560157871899203,0.026143790849673203,0.0004796293455486707,0.0005637254380572108,0.00045912901525328617,0.0011968081084269204,0.0014162019042788584,0.0018350552279523277,0.0,0.0,0.0,0.0006545466307020673,0.00048005760691282955,0.00038642935024543377,0.15069444134324292,0.15781159733891198,0.17061565774319046,0.002278287782760982,0.0020069687404815537,0.0015863252034001621,0.04003873171658551
1934,Argentina,0.007830405609648133,0.007097303460130267,0.026143790849673203,0.0004932220800379043,0.0005254346535854002,0.0006437523229741843,0.0011264854711919155,0.0012906253427363542,0.0015701599542535807,0.0,0.0,0.0,0.0008801056126735209,0.0006545466307020673,0.00048005760691282955,0.14585196591592328,0.15069444134324292,0.15781159733891198,0.002370575865755299,0.002278287782760982,0.0020069687404815537,0.03910140129530161
1935,Argentina,0.00799862594007333,0.007418262899694287,0.026143790849673203,0.0005437093795693434,0.0005403255142133266,0.000600025750092919,0.001244067945278402,0.0012147901464801664,0.0014309317216610652,0.0,0.0,0.0,0.0010631062961597947,0.0008801056126735209,0.0006545466307020673,0.14238249953414314,0.14585196591592328,0.15069444134324292,0.0024280083637560537,0.002370575865755299,0.002278287782760982,0.038218659366315896
1936,Argentina,0.008169814111496854,0.007470530425956501,0.026143790849673203,0.0006912876397381651,0.0005956344251170529,0.0006170305284356333,0.0011979423445113557,0.0013415898563493836,0.0013468523344461042,0.0,0.0,0.0,0.0008988312640070001,0.0010631062961597947,0.0008801056126735209,0.13959913169966096,0.14238249953414314,0.14585196591592328,0.0024751426207359835,0.0024280083637560537,0.002370575865755299,0.03767600747476868
1937,Argentina,0.008344021332542882,0.008026918694456727,0.026143790849673203,0.0007980876964392861,0.0007573066262202529,0.0006801911337085722,0.001320817920325208,0.001291848491063067,0.0014874366861872485,0.0,0.0,0.0,0.0007762633643696819,0.0008988312640070001,0.0010631062961597947,0.13738128769735988,0.13959913169966096,0.14238249953414314,0.002687840906435331,0.0024751426207359835,0.0024280083637560537,0.03731751402762601
1938,Argentina,0.008521301071039596,0.008062644586966546,0.032679738562091505,0.0009942114369267993,0.0008743062454396739,0.0008648144414294702,0.0015421829961375477,0.0014243562264569431,0.0014322878408096933,0.0,0.0,0.0,0.0007362585637936128,0.0007762633643696819,0.0008988312640070001,0.13555521002532067,0.13738128769735988,0.13959913169966096,0.0028423145217477065,0.002687840906435331,0.0024751426207359835,0.036892743436075764
1939,Argentina,0.008705182203647275,0.008375665529422443,0.032679738562091505,0.00119227699662706,0.001089160091642611,0.0009984234141222255,0.001398135013414232,0.0016630740082203721,0.0015792007485777699,0.0,0.0,0.0,0.0007141282485813191,0.0007362585637936128,0.0007762633643696819,0.1343157669099948,0.13555521002532067,0.13738128769735988,0.0029698542759286936,0.0028423145217477065,0.002687840906435331,0.03660264103850939
1940,Argentina,0.008895847725890554,0.008516514483178738,0.032679738562091505,0.0010796514822876962,0.0013061412036495374,0.0012437780730671034,0.001467701493259613,0.0015077341707278589,0.0018438700024184123,0.0,0.0,0.0,0.0007549842151270919,0.0007141282485813191,0.0007362585637936128,0.13295047139841903,0.1343157669099948,0.13555521002532067,0.003236420283890818,0.0029698542759286936,0.0028423145217477065,0.03312240704661584
