country_order,year,country_index,gdp_lag_1,gdp_lag_2,temperature_change_from_co2_lag_1,temperature_change_from_co2_lag_2,cement_co2_lag_1,cement_co2_lag_2,coal_co2_lag_1,coal_co2_lag_2,flaring_co2_lag_1,flaring_co2_lag_2,gas_co2_lag_1,gas_co2_lag_2,land_use_change_co2_lag_1,land_use_change_co2_lag_2,oil_co2_lag_1,oil_co2_lag_2,co2
40,1981,Pakistan,0.03498233343247715,0.03241417850635087,0.016556975729623124,0.01724735768548878,0.022642396433629232,0.025852679990581294,0.0027559336603150296,0.002161376680135533,0.000978450884607084,0.0007795517519568211,0.02107304243340998,0.0185430664692056,0.07229528781793146,0.07851541971636379,0.009715609251732251,0.00949213052551471,0.06426860477006073
40,1982,Pakistan,0.03652114788179881,0.03498233343247715,0.01587946057070436,0.016556975729623124,0.023058248906961527,0.023924337910194847,0.002743302932605144,0.0027559336603150296,0.0009429964656377962,0.000978450884607084,0.02347346308062173,0.02107304243340998,0.08154701224062785,0.07229528781793146,0.009455202315941947,0.009715609251732251,0.054091085595051686
40,1983,Pakistan,0.03822320742679905,0.03652114788179881,0.015293542742915759,0.01587946057070436,0.022597998722688615,0.024363734646399657,0.003389550232284482,0.002743302932605144,0.0007675567708573028,0.0009429964656377962,0.023363396220449074,0.02347346308062173,0.07137045659649414,0.08154701224062785,0.010188877924523014,0.009455202315941947,0.057199922835336335
40,1984,Pakistan,0.03974398866903161,0.03822320742679905,0.014773110951968777,0.015293542742915759,0.028788782296981633,0.02387742654009778,0.0029325983669111957,0.003389550232284482,0.000982084427539032,0.0007675567708573028,0.02376002019391213,0.023363396220449074,0.07421704032900099,0.07137045659649414,0.010871685172364004,0.010188877924523014,0.054423725917390385
40,1985,Pakistan,0.04009930357148333,0.03974398866903161,0.01431714461129359,0.014773110951968777,0.026198225553992188,0.03041871286526306,0.003288747048248281,0.0029325983669111957,0.000924022573822416,0.000982084427539032,0.02306933300628918,0.02376002019391213,0.07134402502980691,0.07421704032900099,0.011766134762984782,0.010871685172364004,0.05053402426985398
40,1986,Pakistan,0.04275797334957361,0.04009930357148333,0.01387050856574158,0.01431714461129359,0.027860415703760934,0.02768148692380916,0.003840876671161155,0.003288747048248281,0.000808823241137413,0.000924022573822416,0.02368280793126225,0.02306933300628918,0.06719054568531484,0.07134402502980691,0.012768371908312086,0.011766134762984782,0.05505736533446626
40,1987,Pakistan,0.04423582349657991,0.04275797334957361,0.013409443177977012,0.01387050856574158,0.026580072511089067,0.029437785067012848,0.0040162303605538905,0.003840876671161155,0.0007681124734320319,0.000808823241137413,0.024018675833364273,0.02368280793126225,0.07154248349194786,0.06719054568531484,0.012948483610244203,0.012768371908312086,0.05140549757669362
40,1988,Pakistan,0.04548393743176672,0.04423582349657991,0.0129599636808534,0.013409443177977012,0.03311853478089665,0.028084952858095032,0.003986248396185314,0.0040162303605538905,0.000971114725122608,0.0007681124734320319,0.02400586092108082,0.024018675833364273,0.0677184732202269,0.07154248349194786,0.013675911209734057,0.012948483610244203,0.05369515452541502
40,1989,Pakistan,0.04710130653585053,0.04548393743176672,0.012531556384413207,0.0129599636808534,0.03256447973437338,0.034993602356149206,0.00425561207349939,0.003986248396185314,0.0010206666866085846,0.000971114725122608,0.025231261544393008,0.02400586092108082,0.06965337967619348,0.0677184732202269,0.014429268456099625,0.013675911209734057,0.05209050398099649
40,1990,Pakistan,0.04790200052062224,0.04710130653585053,0.012128636595018378,0.012531556384413207,0.03059895056890092,0.034408178450480637,0.004104297434766209,0.00425561207349939,0.0,0.0010206666866085846,0.028040323706255192,0.025231261544393008,0.06799947638775537,0.06965337967619348,0.015033378061903599,0.014429268456099625,0.05323019213774406
40,1991,Pakistan,0.048560415730894646,0.04790200052062224,0.0117298728742313,0.012128636595018378,0.031524467306675776,0.03233136718781478,0.004780264606887331,0.004104297434766209,0.0,0.0,0.0299220304652448,0.028040323706255192,0.06855854386757623,0.06799947638775537,0.016372687582329893,0.015033378061903599,0.05358620023165992
40,1992,Pakistan,0.050832968471209765,0.048560415730894646,0.01134837241451172,0.0117298728742313,0.031568440453516124,0.03330928378074133,0.004350449183366717,0.004780264606887331,0.0,0.0,0.03003332178630848,0.0299220304652448,0.06916604127316628,0.06855854386757623,0.015449535645497834,0.016372687582329893,0.05529617617233458
40,1993,Pakistan,0.0522126079915258,0.050832968471209765,0.011028125590492353,0.01134837241451172,0.030764991417727847,0.03335574654925025,0.004405239527582321,0.004350449183366717,0.0,0.0,0.031050139693158674,0.03003332178630848,0.0705922334323499,0.06916604127316628,0.016249545059512056,0.015449535645497834,0.055270554369160355
40,1994,Pakistan,0.05257144652647316,0.0522126079915258,0.010726570529574962,0.011028125590492353,0.03191677533062728,0.03250680874877654,0.0043375665198553655,0.004405239527582321,0.0,0.0,0.031898468292686194,0.031050139693158674,0.07027513607001712,0.0705922334323499,0.0173477268501906,0.016249545059512056,0.056337138439970694
40,1995,Pakistan,0.053918310635617174,0.05257144652647316,0.010420728496079478,0.010726570529574962,0.030153349532269155,0.03372380305467986,0.004584299595971926,0.0043375665198553655,0.0,0.0,0.03281732021743328,0.031898468292686194,0.07090449714356149,0.07027513607001712,0.018873679122708046,0.0173477268501906,0.05601823925798841
40,1996,Pakistan,0.055667091813118526,0.053918310635617174,0.010123847623670131,0.010420728496079478,0.03101486896705249,0.03186053761795185,0.004029994578126191,0.004584299595971926,0.0,0.0,0.031403114876718013,0.03281732021743328,0.0708445681591175,0.07090449714356149,0.018637554080461513,0.018873679122708046,0.05830387902131206
