,year,country,population,gdp,temperature_change_from_co2,cement_co2_lag_1,coal_co2_lag_1,flaring_co2_lag_1,gas_co2_lag_1,land_use_change_co2_lag_1,oil_co2_lag_1
0,2004,Argentina,0.0276767298362594,0.052942043215047,0.0596026490066225,0.004850166033096,0.0004056775283597,0.0172507814058655,0.0587900335274275,0.1883100986804579,0.0235104881643504
1,2005,Argentina,0.0279812017037139,0.057841927307972,0.0596026490066225,0.0057457449365755,0.0004480800036857,0.0145108731794905,0.070571021714095,0.2161900582290619,0.026859396927084
2,2006,Argentina,0.0282891934596258,0.0627903170848852,0.0596026490066225,0.0068944684707298,0.0006662081219495,0.0121433796634967,0.0697675210386948,0.2292153752654571,0.0284389886652014
3,2007,Argentina,0.0285918098820019,0.0688184503484,0.0596026490066225,0.0080070284862163,0.0007881152385118,0.0106271197712309,0.0713864387130711,0.2314027711073752,0.0324442122499161
4,2008,Argentina,0.0288932075316305,0.0719501266522931,0.0662251655629139,0.0085048086843499,0.0007461204792947,0.0092438651326727,0.0742029469068203,0.1697927454619046,0.0308757109252058
5,2009,Argentina,0.0292044008398344,0.0679682941044718,0.0662251655629139,0.008487790557918,0.0007903576771108,0.0079670146970805,0.0767070771896883,0.1398772248978261,0.0351162097086271
6,2010,Argentina,0.0295195384847163,0.0756800523817821,0.0662251655629139,0.0081048827131998,0.0006588692319892,0.0092172640819312,0.0748983495040681,0.245734517211939,0.032629976674484
7,2011,Argentina,0.0298383385113868,0.0806971095007639,0.0662251655629139,0.008887716529068,0.0008133936372639,0.0081399215269003,0.0739901554143944,0.2113626038941979,0.0357051898777796
8,2012,Argentina,0.0301654880409098,0.0798671465559363,0.0662251655629139,0.0097556409770957,0.0009628215911773,0.0115980581232958,0.078806903636947,0.2036953511342751,0.0344230588706869
9,2013,Argentina,0.030495878535774,0.0817926545128604,0.0662251655629139,0.0089004801238919,0.0010211249947506,0.0150428941943206,0.0811850613562989,0.1692255977278364,0.0338998290095904
10,2014,Argentina,0.030826187172767,0.0797322861995798,0.0662251655629139,0.0097450046480757,0.0009866729835482,0.017170978253641,0.0777437973407872,0.1458341029951652,0.0346523927764968
11,2015,Argentina,0.0311543766004303,0.081915124245701,0.0728476821192053,0.0092238245260983,0.0011285581894469,0.0184611292146039,0.0790256532911609,0.136633886853824,0.0333868973895147
12,2016,Argentina,0.0314660216428118,0.0802072179129932,0.0728476821192053,0.0097237319900358,0.0011144919836897,0.0162000399015761,0.079613808976226,0.1347639638308332,0.0344412788355699
13,2017,Argentina,0.0317588757561156,0.0824737717703969,0.0728476821192053,0.0085707539242735,0.0008545729642632,0.0111857418368025,0.0819698363803656,0.1287904407391514,0.0334914641444954
14,2018,Argentina,0.0320309591925703,0.0803103170132588,0.0728476821192053,0.009279133437002,0.0008723086150006,0.012768504355922,0.0820881484501544,0.1236865171080093,0.0320259452299933
15,2019,Argentina,0.0322825387482001,0.0786993840793031,0.0728476821192053,0.00929402429763,0.0008880056851934,0.0180754139788521,0.081816626505819,0.1185781277466778,0.029465644077739
16,2020,Argentina,0.0325027333896945,0.0708548221119502,0.0728476821192053,0.0088090076943204,0.0004368678106908,0.023555230431602,0.0813782760314216,0.115386348587591,0.0296462593817965
17,2021,Argentina,0.0326852127750213,0.078242677593533,0.0728476821192053,0.007462448440395,0.000806666321467,0.0264281439116845,0.0758244180791056,0.112543302358758,0.027070510868011
18,2022,Argentina,0.0328622198100762,0.0823552128676547,0.0728476821192053,0.0099364585704348,0.0010082819373201,0.0309237214869987,0.0791839701615257,0.1093438096657076,0.0335774148483999
