country_index,year,var1(t-2),var2(t-2),var3(t-2),var4(t-2),var5(t-2),var6(t-2),var7(t-2),var8(t-2),var9(t-2),var10(t-2),var11(t-2),var1(t-1),var2(t-1),var3(t-1),var4(t-1),var5(t-1),var6(t-1),var7(t-1),var8(t-1),var9(t-1),var10(t-1),var11(t-1),var1(t),var2(t),var3(t),var4(t),var5(t),var6(t),var7(t),var8(t),var9(t),var10(t),var11(t)
China,1992,0.0,0.8423933728034972,0.2022280705087254,0.2291425012317307,0.11556212909807596,0.26480045161254023,0.0,0.01674527455645306,0.5666810223321953,0.11438906506120072,0.3781114251453397,0.0,0.8549230154099497,0.21016531268019933,0.24161316155991033,0.13912584669831507,0.27461128929539497,0.0,0.01782681953283408,0.42770734801265387,0.12424552292537955,0.3538233826096996,0,0.8646872902715622,0.2259396275787556,0.2552309911121162,0.1687909842679348,0.28329135412226386,0.0,0.01743213250353864,0.44408376922354115,0.13564540343459414,0.3711280114802333
China,1993,0.0,0.8549230154099497,0.21016531268019933,0.24161316155991033,0.13912584669831507,0.27461128929539497,0.0,0.01782681953283408,0.42770734801265387,0.12424552292537955,0.3538233826096996,0.0,0.8646872902715622,0.2259396275787556,0.2552309911121162,0.1687909842679348,0.28329135412226386,0.0,0.01743213250353864,0.44408376922354115,0.13564540343459414,0.3711280114802333,0,0.8736037957700384,0.24972914121083106,0.27658763043245693,0.1973180694927598,0.2985670357675738,0.0,0.021451496332486115,0.45672706486672715,0.15202023683686444,0.3943184526002357
China,1994,0.0,0.8646872902715622,0.2259396275787556,0.2552309911121162,0.1687909842679348,0.28329135412226386,0.0,0.01743213250353864,0.44408376922354115,0.13564540343459414,0.3711280114802333,0.0,0.8736037957700384,0.24972914121083106,0.27658763043245693,0.1973180694927598,0.2985670357675738,0.0,0.021451496332486115,0.45672706486672715,0.15202023683686444,0.3943184526002357,0,0.8820677469131232,0.269765724757391,0.29504807106509906,0.22763292128634993,0.3189079528657543,0.07060535066505443,0.025727882698136185,0.5006248629686472,0.15016774667953492,0.42489271055277983
China,1995,0.0,0.8736037957700384,0.24972914121083106,0.27658763043245693,0.1973180694927598,0.2985670357675738,0.0,0.021451496332486115,0.45672706486672715,0.15202023683686444,0.3943184526002357,0.0,0.8820677469131232,0.269765724757391,0.29504807106509906,0.22763292128634993,0.3189079528657543,0.07060535066505443,0.025727882698136185,0.5006248629686472,0.15016774667953492,0.42489271055277983,0,0.8901071973320618,0.2935625838229597,0.30453612888265275,0.2560631808492873,0.3442492678309389,0.07043530834340993,0.02636348258946911,0.4586842641024837,0.16721739663281096,0.4405612253646314
China,1996,0.0,0.8820677469131232,0.269765724757391,0.29504807106509906,0.22763292128634993,0.3189079528657543,0.07060535066505443,0.025727882698136185,0.5006248629686472,0.15016774667953492,0.42489271055277983,0.0,0.8901071973320618,0.2935625838229597,0.30453612888265275,0.2560631808492873,0.3442492678309389,0.07043530834340993,0.02636348258946911,0.4586842641024837,0.16721739663281096,0.4405612253646314,0,0.8976259496089019,0.3139200356184558,0.32186032957859234,0.2675924509662218,0.3563925170995736,0.10550181378476421,0.027852895238053395,0.47884470824067404,0.18345282411875546,0.4612073968899492
China,1997,0.0,0.8901071973320618,0.2935625838229597,0.30453612888265275,0.2560631808492873,0.3442492678309389,0.07043530834340993,0.02636348258946911,0.4586842641024837,0.16721739663281096,0.4405612253646314,0.0,0.8976259496089019,0.3139200356184558,0.32186032957859234,0.2675924509662218,0.3563925170995736,0.10550181378476421,0.027852895238053395,0.47884470824067404,0.18345282411875546,0.4612073968899492,0,0.9046620088319182,0.3244163390775546,0.3241612568255742,0.28165462426731736,0.34958122153475923,0.10249773276904474,0.027625163018923742,0.4790698311773733,0.20158286992355656,0.46197141559926264
China,1998,0.0,0.8976259496089019,0.3139200356184558,0.32186032957859234,0.2675924509662218,0.3563925170995736,0.10550181378476421,0.027852895238053395,0.47884470824067404,0.18345282411875546,0.4612073968899492,0.0,0.9046620088319182,0.3244163390775546,0.3241612568255742,0.28165462426731736,0.34958122153475923,0.10249773276904474,0.027625163018923742,0.4790698311773733,0.20158286992355656,0.46197141559926264,0,0.9113515677987436,0.3274523750875948,0.3247680508577836,0.29357540684318867,0.3275063009005191,0.0780683192261185,0.03226914287011428,0.4485134055814827,0.20208113117943532,0.43816826306602413
China,1999,0.0,0.9046620088319182,0.3244163390775546,0.3241612568255742,0.28165462426731736,0.34958122153475923,0.10249773276904474,0.027625163018923742,0.4790698311773733,0.20158286992355656,0.46197141559926264,0.0,0.9113515677987436,0.3274523750875948,0.3247680508577836,0.29357540684318867,0.3275063009005191,0.0780683192261185,0.03226914287011428,0.4485134055814827,0.20208113117943532,0.43816826306602413,0,0.917717183145312,0.3428235136519228,0.3368059114079464,0.3173650509878322,0.34575473227301556,0.08375529020556227,0.03525016494110084,0.3851955241645002,0.2164387916111341,0.4413859332641296
China,2000,0.0,0.9113515677987436,0.3274523750875948,0.3247680508577836,0.29357540684318867,0.3275063009005191,0.0780683192261185,0.03226914287011428,0.4485134055814827,0.20208113117943532,0.43816826306602413,0.0,0.917717183145312,0.3428235136519228,0.3368059114079464,0.3173650509878322,0.34575473227301556,0.08375529020556227,0.03525016494110084,0.3851955241645002,0.2164387916111341,0.4413859332641296,0,0.9241336930864029,0.36680836229199976,0.34974044191667725,0.33990999423255835,0.34853377301432886,0.08949894195888755,0.039075480416127545,0.2940426598177091,0.23632902860119187,0.426744354372495
China,2001,0.0,0.917717183145312,0.3428235136519228,0.3368059114079464,0.3173650509878322,0.34575473227301556,0.08375529020556227,0.03525016494110084,0.3851955241645002,0.2164387916111341,0.4413859332641296,0.0,0.9241336930864029,0.36680836229199976,0.34974044191667725,0.33990999423255835,0.34853377301432886,0.08949894195888755,0.039075480416127545,0.2940426598177091,0.23632902860119187,0.426744354372495,0,0.9305314374228096,0.3909775365228183,0.3706553194433958,0.37701246525151505,0.3533454184877678,0.09036804715840388,0.04446563110748887,0.2582884392520437,0.2403940132052637,0.42549627701954973
