year_range,country_index,country,population_t-2,gdp_t-2,primary_energy_consumption_t-2,cement_co2_t-2,coal_co2_t-2,flaring_co2_t-2,gas_co2_t-2,land_use_change_co2_t-2,oil_co2_t-2,co2_including_luc_t-2,population_t-1,gdp_t-1,primary_energy_consumption_t-1,cement_co2_t-1,coal_co2_t-1,flaring_co2_t-1,gas_co2_t-1,land_use_change_co2_t-1,oil_co2_t-1,co2_including_luc_t-1,co2_including_luc_t+1
2013-2013,Indonesia,Indonesia,247099696.0,2178184535640.0,1835.917,21.1,181.281,5.462,81.553,732.776,211.329,1233.501,250222688.0,2309530167050.131,1895.301,23.294,187.171,6.649,80.062,746.869,218.777,1262.823,1236.327
2014-2014,Indonesia,Indonesia,250222688.0,2309530167050.131,1895.301,23.294,187.171,6.649,80.062,746.869,218.777,1262.823,253275920.0,2437876849559.0767,1829.965,24.775,164.219,5.899,64.753,747.272,229.408,1236.327,1425.563
2015-2015,Indonesia,Indonesia,253275920.0,2437876849559.0767,1829.965,24.775,164.219,5.899,64.753,747.272,229.408,1236.327,256229760.0,2559933261761.715,1853.965,25.534,173.584,5.763,62.416,937.673,220.593,1425.563,1936.231
2016-2016,Indonesia,Indonesia,256229760.0,2559933261761.715,1853.965,25.534,173.584,5.763,62.416,937.673,220.593,1425.563,259091968.0,2684763861665.7056,1882.794,24.558,197.815,5.461,94.253,1397.082,217.063,1936.231,1183.53
2017-2017,Indonesia,Indonesia,259091968.0,2684763861665.7056,1882.794,24.558,197.815,5.461,94.253,1397.082,217.063,1936.231,261850176.0,2819889882297.1445,1888.482,28.71,206.328,5.089,91.185,643.444,208.773,1183.53,1168.161
2018-2018,Indonesia,Indonesia,261850176.0,2819889882297.1445,1888.482,28.71,206.328,5.089,91.185,643.444,208.773,1183.53,264498848.0,2962852259428.3496,1954.256,28.966,221.093,4.387,84.339,611.216,218.16,1168.161,1114.337
2019-2019,Indonesia,Indonesia,264498848.0,2962852259428.3496,1954.256,28.966,221.093,4.387,84.339,611.216,218.16,1168.161,267066848.0,3116158871295.9937,2143.717,30.832,262.222,3.946,84.148,520.236,212.953,1114.337,1725.195
2020-2020,Indonesia,Indonesia,267066848.0,3116158871295.9937,2143.717,30.832,262.222,3.946,84.148,520.236,212.953,1114.337,269582880.0,3272567851869.3066,2284.574,30.156,315.401,3.784,87.91,1074.289,213.655,1725.195,1442.075
2021-2021,Indonesia,Indonesia,269582880.0,3272567851869.3066,2284.574,30.156,315.401,3.784,87.91,1074.289,213.655,1725.195,271857984.0,3204972579221.8896,2112.62,26.297,300.518,3.525,81.217,836.091,194.428,1442.075,1504.48
2022-2022,Indonesia,Indonesia,271857984.0,3204972579221.8896,2112.62,26.297,300.518,3.525,81.217,836.091,194.428,1442.075,273753184.0,3323654486786.323,2154.942,27.262,303.154,3.149,80.013,888.556,202.345,1504.48,1647.497
1992-1992,Iran,Iran,55793628.0,318478240120.0,811.283,6.13,2.693,21.819,40.015,67.167,139.287,277.11,57990892.0,376283103700.0589,880.229,6.27,3.843,22.313,49.617,62.392,139.79,284.226,260.631
1993-1993,Iran,Iran,57990892.0,376283103700.0589,880.229,6.27,3.843,22.313,49.617,62.392,139.79,284.226,59372016.0,424984706407.22,973.424,6.226,3.385,21.734,52.647,33.696,142.941,260.631,256.95
1994-1994,Iran,Iran,59372016.0,424984706407.22,973.424,6.226,3.385,21.734,52.647,33.696,142.941,260.631,59755432.0,419990130850.4637,900.748,6.559,4.133,17.697,60.69,21.343,146.528,256.95,271.21
1995-1995,Iran,Iran,59755432.0,419990130850.4637,900.748,6.559,4.133,17.697,60.69,21.343,146.528,256.95,59985752.0,419488453192.59937,1008.745,6.78,4.173,21.821,73.287,7.882,157.266,271.21,260.284
1996-1996,Iran,Iran,59985752.0,419488453192.59937,1008.745,6.78,4.173,21.821,73.287,7.882,157.266,271.21,60794808.0,437566114818.61,1057.944,6.986,3.909,20.192,81.575,-8.986,156.607,260.284,284.083
1997-1997,Iran,Iran,60794808.0,437566114818.61,1057.944,6.986,3.909,20.192,81.575,-8.986,156.607,260.284,61598380.0,483475463897.0789,1150.883,7.081,4.089,21.72,81.246,9.157,160.791,284.083,259.149
1998-1998,Iran,Iran,61598380.0,483475463897.0789,1150.883,7.081,4.089,21.72,81.246,9.157,160.791,284.083,62480528.0,512736332760.9304,1186.134,7.565,4.195,21.471,90.915,-8.209,143.211,259.149,266.222
1999-1999,Iran,Iran,62480528.0,512736332760.9304,1186.134,7.565,4.195,21.471,90.915,-8.209,143.211,259.149,63461424.0,541099722937.8248,1235.507,7.862,4.884,17.247,98.652,-37.292,174.87,266.222,384.946
2000-2000,Iran,Iran,63461424.0,541099722937.8248,1235.507,7.862,4.884,17.247,98.652,-37.292,174.87,266.222,64474748.0,563869023677.0673,1331.568,8.477,4.976,16.516,114.287,12.972,227.718,384.946,370.352
2001-2001,Iran,Iran,64474748.0,563869023677.0673,1331.568,8.477,4.976,16.516,114.287,12.972,227.718,384.946,65544380.0,595554565540.217,1396.568,9.118,5.328,19.291,120.448,6.05,210.118,370.352,392.235
2002-2002,Iran,Iran,65544380.0,595554565540.217,1396.568,9.118,5.328,19.291,120.448,6.05,210.118,370.352,66674856.0,636570217166.9003,1492.142,9.922,4.14,16.988,127.654,6.077,227.454,392.235,399.804
2003-2003,Iran,Iran,66674856.0,636570217166.9003,1492.142,9.922,4.14,16.988,127.654,6.077,227.454,392.235,67327120.0,698059632125.2432,1626.368,10.446,4.664,16.556,143.816,6.394,217.927,399.804,415.646
2004-2004,Iran,Iran,67327120.0,698059632125.2432,1626.368,10.446,4.664,16.556,143.816,6.394,217.927,399.804,67954704.0,779969640263.5548,1656.194,10.749,5.188,21.881,158.468,8.57,210.79,415.646,448.493
2005-2005,Iran,Iran,67954704.0,779969640263.5548,1656.194,10.749,5.188,21.881,158.468,8.57,210.79,415.646,69061680.0,849442006170.8127,1831.958,11.32,4.994,20.699,178.9,10.814,221.765,448.493,474.057
2006-2006,Iran,Iran,69061680.0,849442006170.8127,1831.958,11.32,4.994,20.699,178.9,10.814,221.765,448.493,70182592.0,908856029705.2104,1940.3,11.344,6.086,21.924,200.161,12.055,222.489,474.057,474.643
2007-2007,Iran,Iran,70182592.0,908856029705.2104,1940.3,11.344,6.086,21.924,200.161,12.055,222.489,474.057,71275768.0,995245215831.0476,2120.271,12.305,5.983,22.879,221.54,-21.427,233.364,474.643,485.278
2008-2008,Iran,Iran,71275768.0,995245215831.0476,2120.271,12.305,5.983,22.879,221.54,-21.427,233.364,474.643,72319424.0,1098784548781.576,2253.991,14.191,6.577,20.097,236.52,-17.287,225.18,485.278,501.069
2009-2009,Iran,Iran,72319424.0,1098784548781.576,2253.991,14.191,6.577,20.097,236.52,-17.287,225.18,485.278,73318400.0,1132365763008.882,2323.367,15.627,5.859,20.251,246.875,-21.488,233.945,501.069,512.786
2010-2010,Iran,Iran,73318400.0,1132365763008.882,2323.367,15.627,5.859,20.251,246.875,-21.488,233.945,501.069,74322688.0,1208128424817.4573,2379.29,17.753,4.393,20.475,261.065,-23.819,232.918,512.786,527.494
2011-2011,Iran,Iran,74322688.0,1208128424817.4573,2379.29,17.753,4.393,20.475,261.065,-23.819,232.918,512.786,75373864.0,1310507084578.0962,2421.595,21.561,5.448,21.191,277.22,-25.459,227.533,527.494,539.674
2012-2012,Iran,Iran,75373864.0,1310507084578.0962,2421.595,21.561,5.448,21.191,277.22,-25.459,227.533,527.494,76342968.0,1345049291040.0002,2529.514,23.057,5.313,20.961,293.263,-26.615,223.695,539.674,561.408
2013-2013,Iran,Iran,76342968.0,1345049291040.0002,2529.514,23.057,5.313,20.961,293.263,-26.615,223.695,539.674,77324448.0,1324570716832.7043,2558.024,24.068,4.129,20.731,292.274,-26.956,247.162,561.408,573.919
2014-2014,Iran,Iran,77324448.0,1324570716832.7043,2558.024,24.068,4.129,20.731,292.274,-26.956,247.162,561.408,78458928.0,1287095612791.2097,2647.917,24.831,4.118,20.74,294.934,-24.033,253.329,573.919,607.201
2015-2015,Iran,Iran,78458928.0,1287095612791.2097,2647.917,24.831,4.118,20.74,294.934,-24.033,253.329,573.919,79961672.0,1352736951851.0496,2756.672,23.491,3.591,22.785,335.007,-25.472,247.8,607.201,607.996
2016-2016,Iran,Iran,79961672.0,1352736951851.0496,2756.672,23.491,3.591,22.785,335.007,-25.472,247.8,607.201,81790848.0,1331012176035.8923,2745.521,20.9,4.302,22.557,356.769,-23.586,227.053,607.996,609.817
2017-2017,Iran,Iran,81790848.0,1331012176035.8923,2745.521,20.9,4.302,22.557,356.769,-23.586,227.053,607.996,83306232.0,1413723693684.5854,2878.794,19.761,3.451,29.786,380.704,-24.01,200.124,609.817,661.289
2018-2018,Iran,Iran,83306232.0,1413723693684.5854,2878.794,19.761,3.451,29.786,380.704,-24.01,200.124,609.817,84505080.0,1486668402041.9592,2986.091,18.91,4.708,33.22,399.504,-24.112,229.059,661.289,706.721
2019-2019,Iran,Iran,84505080.0,1486668402041.9592,2986.091,18.91,4.708,33.22,399.504,-24.112,229.059,661.289,85617560.0,1483607127790.9048,3087.446,19.091,4.459,32.439,418.29,-3.494,235.936,706.721,683.864
2020-2020,Iran,Iran,85617560.0,1483607127790.9048,3087.446,19.091,4.459,32.439,418.29,-3.494,235.936,706.721,86564208.0,1438754476874.35,3257.938,20.893,3.73,25.963,415.107,-10.803,228.973,683.864,666.421
2021-2021,Iran,Iran,86564208.0,1438754476874.35,3257.938,20.893,3.73,25.963,415.107,-10.803,228.973,683.864,87290192.0,1446203740266.6462,3378.643,23.87,3.723,24.925,419.401,-12.587,207.088,666.421,674.846
2022-2022,Iran,Iran,87290192.0,1446203740266.6462,3378.643,23.87,3.723,24.925,419.401,-12.587,207.088,666.421,87923432.0,1525523021903.5176,3360.935,22.525,3.257,32.496,418.911,-13.231,210.887,674.846,677.454
1992-1992,Japan,Japan,123686320.0,3699821562651.0,5218.65,38.701,318.711,0.192,116.896,0.559,671.429,1157.755,124073992.0,3824677414140.348,5336.243,40.347,318.579,0.216,125.042,-0.773,673.791,1168.124,1177.315
1993-1993,Japan,Japan,124073992.0,3824677414140.348,5336.243,40.347,318.579,0.216,125.042,-0.773,673.791,1168.124,124444696.0,3856515793128.783,5391.939,41.666,312.947,0.209,126.467,-1.36,687.36,1177.315,1168.548
1994-1994,Japan,Japan,124444696.0,3856515793128.783,5391.939,41.666,312.947,0.209,126.467,-1.36,687.36,1177.315,124779576.0,3860865139821.36,5473.17,41.224,318.364,0.212,129.365,-3.139,672.758,1168.548,1227.102
1995-1995,Japan,Japan,124779576.0,3860865139821.36,5473.17,41.224,318.364,0.212,129.365,-3.139,672.758,1168.548,125119264.0,3893220523448.09,5677.982,42.297,326.152,0.232,135.668,0.4,712.832,1227.102,1235.181
1996-1996,Japan,Japan,125119264.0,3893220523448.09,5677.982,42.297,326.152,0.232,135.668,0.4,712.832,1227.102,125433968.0,3997430896753.146,5968.173,42.142,336.098,0.523,140.632,-3.867,710.136,1235.181,1246.488
1997-1997,Japan,Japan,125433968.0,3997430896753.146,5968.173,42.142,336.098,0.523,140.632,-3.867,710.136,1235.181,125726224.0,4118875415477.421,6083.47,42.56,344.903,0.572,146.416,-5.057,707.677,1246.488,1237.176
1998-1998,Japan,Japan,125726224.0,4118875415477.421,6083.47,42.56,344.903,0.572,146.416,-5.057,707.677,1246.488,126027984.0,4160709476275.336,6200.573,39.926,350.437,0.582,151.051,-7.075,692.814,1237.176,1197.841
1999-1999,Japan,Japan,126027984.0,4160709476275.336,6200.573,39.926,350.437,0.582,151.051,-7.075,692.814,1237.176,126308392.0,4111244968374.173,6076.8,35.363,328.065,0.5,154.585,-6.562,676.905,1197.841,1233.557
2000-2000,Japan,Japan,126308392.0,4111244968374.173,6076.8,35.363,328.065,0.5,154.585,-6.562,676.905,1197.841,126555064.0,4098282957768.511,6176.304,35.01,346.075,0.541,163.835,-7.479,686.478,1233.557,1267.826
2001-2001,Japan,Japan,126555064.0,4098282957768.511,6176.304,35.01,346.075,0.541,163.835,-7.479,686.478,1233.557,126803864.0,4209651885903.616,6242.476,35.086,372.898,0.513,168.695,4.071,677.172,1267.826,1241.92
2002-2002,Japan,Japan,126803864.0,4209651885903.616,6242.476,35.086,372.898,0.513,168.695,4.071,677.172,1267.826,127065736.0,4224163564299.504,6183.373,34.374,381.944,0.55,167.833,-7.242,655.456,1241.92,1268.997
2003-2003,Japan,Japan,127065736.0,4224163564299.504,6183.373,34.374,381.944,0.55,167.833,-7.242,655.456,1241.92,127301744.0,4226575817549.0127,6192.44,32.417,399.075,0.526,171.744,-9.79,666.369,1268.997,1276.05
2004-2004,Japan,Japan,127301744.0,4226575817549.0127,6192.44,32.417,399.075,0.526,171.744,-9.79,666.369,1268.997,127502352.0,4288493335985.549,6170.211,31.935,412.437,0.507,177.139,-11.243,656.423,1276.05,1271.396
2005-2005,Japan,Japan,127502352.0,4288493335985.549,6170.211,31.935,412.437,0.507,177.139,-11.243,656.423,1276.05,127671288.0,4380397985974.367,6241.509,31.276,420.397,0.479,176.05,-11.29,645.272,1271.396,1278.601
2006-2006,Japan,Japan,127671288.0,4380397985974.367,6241.509,31.276,420.397,0.479,176.05,-11.29,645.272,1271.396,127798376.0,4450600965248.421,6263.036,32.28,430.822,0.509,174.681,-11.544,642.282,1278.601,1255.47
2007-2007,Japan,Japan,127798376.0,4450600965248.421,6263.036,32.28,430.822,0.509,174.681,-11.544,642.282,1278.601,127902168.0,4514224954934.308,6248.704,31.991,427.929,0.555,191.312,-11.648,605.501,1255.47,1291.963
2008-2008,Japan,Japan,127902168.0,4514224954934.308,6248.704,31.991,427.929,0.555,191.312,-11.648,605.501,1255.47,128006424.0,4590814356007.329,6181.806,30.658,445.403,0.617,207.748,-10.874,608.088,1291.963,1222.123
2009-2009,Japan,Japan,128006424.0,4590814356007.329,6181.806,30.658,445.403,0.617,207.748,-10.874,608.088,1291.963,128077632.0,4542408211673.288,6073.238,28.553,426.679,0.567,203.282,-9.891,563.322,1222.123,1152.843
2010-2010,Japan,Japan,128077632.0,4542408211673.288,6073.238,28.553,426.679,0.567,203.282,-9.891,563.322,1222.123,128117040.0,4298102894746.953,5541.613,25.308,411.779,0.502,201.011,-10.214,516.33,1152.843,1203.942
2011-2011,Japan,Japan,128117040.0,4298102894746.953,5541.613,25.308,411.779,0.502,201.011,-10.214,516.33,1152.843,128105432.0,4480295741206.953,5907.574,24.321,446.473,0.476,212.046,-10.765,522.267,1203.942,1255.794
2012-2012,Japan,Japan,128105432.0,4480295741206.953,5907.574,24.321,446.473,0.476,212.046,-10.765,522.267,1203.942,128007256.0,4468738297310.0,5595.579,24.983,430.912,0.479,246.698,-8.837,552.787,1255.794,1300.087
2013-2013,Japan,Japan,128007256.0,4468738297310.0,5595.579,24.983,430.912,0.479,246.698,-8.837,552.787,1255.794,127853688.0,4530172320771.594,5552.538,25.625,450.418,0.492,255.891,-5.797,564.589,1300.087,1308.648
2014-2014,Japan,Japan,127853688.0,4530172320771.594,5552.538,25.625,450.418,0.492,255.891,-5.797,564.589,1300.087,127678920.0,4621006816785.942,5512.085,26.805,481.616,0.441,255.307,-6.544,541.914,1308.648,1258.506
2015-2015,Japan,Japan,127678920.0,4621006816785.942,5512.085,26.805,481.616,0.441,255.307,-6.544,541.914,1308.648,127476728.0,4634693617154.654,5372.656,26.557,473.327,0.451,257.384,-5.566,497.252,1258.506,1218.842
2016-2016,Japan,Japan,127476728.0,4634693617154.654,5372.656,26.557,473.327,0.451,257.384,-5.566,497.252,1258.506,127250936.0,4707024768869.148,5296.524,25.936,466.231,0.427,245.228,-4.327,476.874,1218.842,1199.07
2017-2017,Japan,Japan,127250936.0,4707024768869.148,5296.524,25.936,466.231,0.427,245.228,-4.327,476.874,1218.842,126993856.0,4742508455740.72,5228.627,25.969,456.862,0.46,250.608,-3.385,460.232,1199.07,1184.882
2018-2018,Japan,Japan,126993856.0,4742508455740.72,5228.627,25.969,456.862,0.46,250.608,-3.385,460.232,1199.07,126662464.0,4821960316708.037,5292.342,26.429,458.838,0.439,244.659,-1.921,447.996,1184.882,1140.846
2019-2019,Japan,Japan,126662464.0,4821960316708.037,5292.342,26.429,458.838,0.439,244.659,-1.921,447.996,1184.882,126255872.0,4852985248183.114,5264.132,26.183,442.189,0.428,233.099,-0.823,431.473,1140.846,1105.044
2020-2020,Japan,Japan,126255872.0,4852985248183.114,5264.132,26.183,442.189,0.428,233.099,-0.823,431.473,1140.846,125791680.0,4833468040017.496,5140.941,25.328,432.433,0.389,223.211,0.504,415.45,1105.044,1041.45
2021-2021,Japan,Japan,125791680.0,4833468040017.496,5140.941,25.328,432.433,0.389,223.211,0.504,415.45,1105.044,125244760.0,4626661388270.685,4762.967,24.49,399.226,0.393,221.782,1.654,386.862,1041.45,1065.054
2022-2022,Japan,Japan,125244760.0,4626661388270.685,4762.967,24.49,399.226,0.393,221.782,1.654,386.862,1041.45,124612528.0,4725883271706.588,4983.889,24.396,428.082,0.359,211.048,2.925,390.6,1065.054,1058.027
1992-1992,Russia,Russia,148005696.0,1834865200000.0,10076.103,34.609,754.207,33.222,788.193,335.757,888.24,2872.005,148455408.0,1782589564629.87,9938.643,32.837,705.395,33.629,754.959,289.872,844.452,2696.628,2130.536
1993-1993,Russia,Russia,148455408.0,1782589564629.87,9938.643,32.837,705.395,33.629,754.959,289.872,844.452,2696.628,148725600.0,1557839108249.74,9566.619,26.717,521.601,27.375,774.35,164.031,585.385,2130.536,1993.964
1994-1994,Russia,Russia,148725600.0,1557839108249.74,9566.619,26.717,521.601,27.375,774.35,164.031,585.385,2130.536,148897280.0,1453308148987.4358,8919.131,21.995,507.516,22.063,781.669,127.235,509.992,1993.964,1729.11
1995-1995,Russia,Russia,148897280.0,1453308148987.4358,8919.131,21.995,507.516,22.063,781.669,127.235,509.992,1993.964,148829120.0,1297672588197.074,8138.424,16.475,454.67,18.667,732.937,81.446,406.8,1729.11,1631.962
1996-1996,Russia,Russia,148829120.0,1297672588197.074,8138.424,16.475,454.67,18.667,732.937,81.446,406.8,1729.11,148557456.0,1274033452593.145,7702.033,16.646,479.041,19.977,699.582,12.235,386.793,1631.962,2027.621
1997-1997,Russia,Russia,148557456.0,1274033452593.145,7702.033,16.646,479.041,19.977,699.582,12.235,386.793,1631.962,148233408.0,1256336599008.7852,7413.202,12.723,477.466,20.154,699.775,440.799,361.332,2027.621,1522.874
1998-1998,Russia,Russia,148233408.0,1256336599008.7852,7413.202,12.723,477.466,20.154,699.775,440.799,361.332,2027.621,147939968.0,1303661574747.2632,7011.005,12.273,411.997,21.843,669.233,40.629,352.956,1522.874,1486.282
1999-1999,Russia,Russia,147939968.0,1303661574747.2632,7011.005,12.273,411.997,21.843,669.233,40.629,352.956,1522.874,147672720.0,1263722619613.472,6997.946,11.923,400.631,21.849,673.399,21.029,345.571,1486.282,1528.844
2000-2000,Russia,Russia,147672720.0,1263722619613.472,6997.946,11.923,400.631,21.849,673.399,21.029,345.571,1486.282,147336384.0,1375023713543.9185,7086.538,13.173,407.464,23.633,686.577,34.665,350.395,1528.844,1461.906
2001-2001,Russia,Russia,147336384.0,1375023713543.9185,7086.538,13.173,407.464,23.633,686.577,34.665,350.395,1528.844,146844848.0,1547057421504.8684,7214.09,15.113,427.01,23.764,681.631,-17.237,317.516,1461.906,1476.142
2002-2002,Russia,Russia,146844848.0,1547057421504.8684,7214.09,15.113,427.01,23.764,681.631,-17.237,317.516,1461.906,146235520.0,1662886687529.01,7328.268,15.863,445.476,24.348,693.223,-39.505,323.3,1476.142,1444.95
2003-2003,Russia,Russia,146235520.0,1662886687529.01,7328.268,15.863,445.476,24.348,693.223,-39.505,323.3,1476.142,145590144.0,1781424835793.5156,7298.46,17.116,424.116,34.816,702.703,-61.838,314.772,1444.95,1502.014
2004-2004,Russia,Russia,145590144.0,1781424835793.5156,7298.46,17.116,424.116,34.816,702.703,-61.838,314.772,1444.95,144946720.0,1955876013599.748,7448.467,18.666,425.963,34.543,735.376,-35.004,308.711,1502.014,1504.363
2005-2005,Russia,Russia,144946720.0,1955876013599.748,7448.467,18.666,425.963,34.543,735.376,-35.004,308.711,1502.014,144353648.0,2143914804361.1624,7514.088,20.915,416.376,39.638,743.405,-39.594,309.318,1504.363,1542.98
2006-2006,Russia,Russia,144353648.0,2143914804361.1624,7514.088,20.915,416.376,39.638,743.405,-39.594,309.318,1504.363,143800048.0,2331246979614.2773,7503.902,22.256,417.916,41.53,746.183,-19.596,320.02,1542.98,1645.698
2007-2007,Russia,Russia,143800048.0,2331246979614.2773,7503.902,22.256,417.916,41.53,746.183,-19.596,320.02,1542.98,143338672.0,2576148481476.799,7836.936,24.545,437.859,42.157,766.955,22.696,335.529,1645.698,1685.478
2008-2008,Russia,Russia,143338672.0,2576148481476.799,7836.936,24.545,437.859,42.157,766.955,22.696,335.529,1645.698,143117680.0,2858759517669.522,7878.334,27.645,423.047,50.868,779.354,61.696,326.463,1685.478,1686.184
2009-2009,Russia,Russia,143117680.0,2858759517669.522,7878.334,27.645,423.047,50.868,779.354,61.696,326.463,1685.478,143086544.0,3078094268792.468,7914.625,23.625,451.93,36.625,779.724,34.12,343.698,1686.184,1753.454
2010-2010,Russia,Russia,143086544.0,3078094268792.468,7914.625,23.625,451.93,36.625,779.724,34.12,343.698,1686.184,143163648.0,2903690084793.3013,7522.19,19.746,419.075,38.288,732.688,208.419,323.009,1753.454,2011.366
2011-2011,Russia,Russia,143163648.0,2903690084793.3013,7522.19,19.746,419.075,38.288,732.688,208.419,323.009,1753.454,143242592.0,3105249200734.025,7814.577,22.723,419.276,47.87,794.593,378.583,333.87,2011.366,1782.149
2012-2012,Russia,Russia,143242592.0,3105249200734.025,7814.577,22.723,419.276,47.87,794.593,378.583,333.87,2011.366,143364544.0,3306766109400.0,8080.629,25.129,430.352,51.561,817.72,96.24,346.176,1782.149,2039.685
2013-2013,Russia,Russia,143364544.0,3306766109400.0,8080.629,25.129,430.352,51.561,817.72,96.24,346.176,1782.149,143629360.0,3439833226935.005,8128.429,26.332,445.326,52.928,807.072,338.417,353.791,2039.685,1859.798
2014-2014,Russia,Russia,143629360.0,3439833226935.005,8128.429,26.332,445.326,52.928,807.072,338.417,353.791,2039.685,143956864.0,3500216816787.327,8032.607,27.281,408.194,48.828,782.85,219.361,357.04,1859.798,1736.803
2015-2015,Russia,Russia,143956864.0,3500216816787.327,8032.607,27.281,408.194,48.828,782.85,219.361,357.04,1859.798,144285072.0,3525987773128.5776,8057.55,26.453,397.222,38.466,775.338,96.844,385.79,1736.803,2040.582
2016-2016,Russia,Russia,144285072.0,3525987773128.5776,8057.55,26.453,397.222,38.466,775.338,96.844,385.79,1736.803,144668384.0,3456429928726.512,7930.555,23.171,417.405,33.023,739.506,401.906,408.673,2040.582,2051.961
2017-2017,Russia,Russia,144668384.0,3456429928726.512,7930.555,23.171,417.405,33.023,739.506,401.906,408.673,2040.582,145109152.0,3463124039267.766,8092.628,20.432,405.877,36.218,753.005,417.076,403.595,2051.961,2099.36
2018-2018,Russia,Russia,145109152.0,3463124039267.766,8092.628,20.432,405.877,36.218,753.005,417.076,403.595,2051.961,145452544.0,3526354077857.8906,8141.66,20.512,389.27,41.926,780.664,433.239,417.49,2099.36,2158.138
2019-2019,Russia,Russia,145452544.0,3526354077857.8906,8141.66,20.512,389.27,41.926,780.664,433.239,417.49,2099.36,145652288.0,3625347493878.965,8441.753,20.091,401.062,49.438,828.859,445.644,395.445,2158.138,1979.891
2020-2020,Russia,Russia,145652288.0,3625347493878.965,8441.753,20.091,401.062,49.438,828.859,445.644,395.445,2158.138,145742288.0,3705035373541.773,8378.17,20.306,395.101,62.655,807.388,274.86,402.824,1979.891,1906.015
2021-2021,Russia,Russia,145742288.0,3705035373541.773,8378.17,20.306,395.101,62.655,807.388,274.86,402.824,1979.891,145617328.0,3606716535868.172,8075.289,20.581,367.669,59.115,784.291,273.085,384.939,1906.015,2009.503
2022-2022,Russia,Russia,145617328.0,3606716535868.172,8075.289,20.581,367.669,59.115,784.291,273.085,384.939,1906.015,145102752.0,3809571638749.295,8745.49,22.158,382.146,60.216,854.064,297.51,376.578,2009.503,1965.207
1992-1992,Saudi Arabia,Saudi Arabia,16004768.0,230231008935.0,928.337,5.819,0.0,0.462,90.816,12.094,111.4,220.591,16654283.0,279266371065.1608,972.452,5.509,0.0,0.865,111.496,8.921,170.676,297.466,322.719
1993-1993,Saudi Arabia,Saudi Arabia,16654283.0,279266371065.1608,972.452,5.509,0.0,0.865,111.496,8.921,170.676,297.466,17281352.0,306102223787.6601,981.756,7.417,0.0,0.539,113.518,6.545,194.701,322.719,344.839
1994-1994,Saudi Arabia,Saudi Arabia,17281352.0,306102223787.6601,981.756,7.417,0.0,0.539,113.518,6.545,194.701,322.719,17846472.0,318013020887.6868,1002.85,7.398,0.0,0.729,119.721,4.196,212.794,344.839,336.683
1995-1995,Saudi Arabia,Saudi Arabia,17846472.0,318013020887.6868,1002.85,7.398,0.0,0.729,119.721,4.196,212.794,344.839,18367526.0,336457989306.8776,1159.58,7.246,0.0,6.717,124.521,3.04,195.159,336.683,270.367
1996-1996,Saudi Arabia,Saudi Arabia,18367526.0,336457989306.8776,1159.58,7.246,0.0,6.717,124.521,3.04,195.159,336.683,18888862.0,354296179976.4951,1130.006,7.612,0.0,6.172,75.896,2.235,178.451,270.367,265.065
1997-1997,Saudi Arabia,Saudi Arabia,18888862.0,354296179976.4951,1130.006,7.612,0.0,6.172,75.896,2.235,178.451,270.367,19410278.0,381675231245.7961,1168.553,7.925,0.0,6.839,79.219,1.739,169.343,265.065,223.118
1998-1998,Saudi Arabia,Saudi Arabia,19410278.0,381675231245.7961,1168.553,7.925,0.0,6.839,79.219,1.739,169.343,265.065,19938380.0,404619651567.376,1190.249,7.417,0.0,7.768,82.48,1.448,124.004,223.118,214.437
1999-1999,Saudi Arabia,Saudi Arabia,19938380.0,404619651567.376,1190.249,7.417,0.0,7.768,82.48,1.448,124.004,223.118,20472576.0,436367193703.5482,1252.577,7.596,0.0,6.745,83.902,1.28,114.914,214.437,232.673
2000-2000,Saudi Arabia,Saudi Arabia,20472576.0,436367193703.5482,1252.577,7.596,0.0,6.745,83.902,1.28,114.914,214.437,21009664.0,440370735163.2982,1275.43,7.842,0.0,6.094,82.403,1.19,135.143,232.673,303.579
2001-2001,Saudi Arabia,Saudi Arabia,21009664.0,440370735163.2982,1275.43,7.842,0.0,6.094,82.403,1.19,135.143,232.673,21547398.0,488272436077.2844,1334.88,8.696,0.0,7.078,88.183,1.251,198.371,303.579,303.861
2002-2002,Saudi Arabia,Saudi Arabia,21547398.0,488272436077.2844,1334.88,8.696,0.0,7.078,88.183,1.251,198.371,303.579,22085932.0,506978108819.2545,1422.332,9.887,0.0,6.558,81.253,1.158,205.004,303.861,334.209
2003-2003,Saudi Arabia,Saudi Arabia,22085932.0,506978108819.2545,1422.332,9.887,0.0,6.558,81.253,1.158,205.004,303.861,22623412.0,518347021615.0169,1481.383,11.162,0.0,6.417,94.938,2.229,219.463,334.209,334.596
2004-2004,Saudi Arabia,Saudi Arabia,22623412.0,518347021615.0169,1481.383,11.162,0.0,6.417,94.938,2.229,219.463,334.209,23150850.0,607244611840.5791,1569.191,11.545,0.0,7.704,97.902,0.605,216.839,334.596,401.695
2005-2005,Saudi Arabia,Saudi Arabia,23150850.0,607244611840.5791,1569.191,11.545,0.0,7.704,97.902,0.605,216.839,334.596,23661804.0,690846608611.7495,1702.448,11.722,0.0,6.853,119.244,0.682,263.194,401.695,402.806
2006-2006,Saudi Arabia,Saudi Arabia,23661804.0,690846608611.7495,1702.448,11.722,0.0,6.853,119.244,0.682,263.194,401.695,24397652.0,768984291416.5668,1811.106,11.527,0.0,7.378,127.254,-0.042,256.689,402.806,439.565
