country,year,iso_code,population,gdp,primary_energy_consumption,cement_co2,coal_co2,consumption_co2,flaring_co2,gas_co2,land_use_change_co2,oil_co2,other_industry_co2,trade_co2,cumulative_co2_including_luc,co2_including_luc
Argentina,1904,ARG,5428911.0,27744129024.0,,,3.796,,0.0,0.0,108.699,0.0,,,819.185,112.495
Argentina,1905,ARG,5636349.0,31406880768.0,,,3.983,,0.0,0.0,113.592,0.0,,,936.76,117.575
Argentina,1906,ARG,5851713.0,32980647936.0,,,6.254,,0.0,0.0,116.113,0.0,,,1059.127,122.368
Argentina,1907,ARG,6075305.0,33673998336.0,,,6.254,,0.0,0.0,120.702,0.0,,,1186.084,126.957
Argentina,1908,ARG,6307441.0,36961689600.0,,,7.61,,0.0,0.0,124.038,0.007,,,1317.74,131.656
Argentina,1909,ARG,6532092.0,38819262464.0,,,5.925,,0.0,0.0,125.048,0.011,,,1448.724,130.984
Argentina,1910,ARG,6748544.0,41644912640.0,,,8.896,,0.0,0.0,138.007,0.011,,,1595.638,146.914
Argentina,1911,ARG,6956048.0,42382159872.0,,,9.937,,0.0,0.0,145.064,0.007,,,1750.646,155.008
Argentina,1912,ARG,7153812.0,45863510016.0,,,9.457,,0.0,0.0,150.253,0.022,,,1910.378,159.732
Argentina,1913,ARG,7341005.0,46315954176.0,,,10.087,,0.0,0.0,155.612,0.059,,,2076.136,165.758
Argentina,1914,ARG,7533097.0,41498755072.0,,,8.548,,0.0,0.004,156.839,0.121,,,2241.648,165.512
Argentina,1915,ARG,7730214.0,41740312576.0,,,6.701,,0.0,0.011,161.785,0.227,,,2410.372,168.724
Argentina,1916,ARG,7932490.0,40529502208.0,,,4.587,,0.0,0.015,161.515,0.385,,,2576.874,166.502
Argentina,1917,ARG,8140058.0,37239177216.0,,,1.663,,0.0,0.026,165.492,0.542,,,2744.597,167.724
Argentina,1918,ARG,8354021.0,44097687552.0,,,1.891,,0.0,0.029,166.157,0.601,,,2913.275,168.678
Argentina,1919,ARG,8579951.0,45710110720.0,,,3.103,,0.0,0.029,168.655,0.594,,,3085.656,172.381
Argentina,1920,ARG,8818354.0,49054494720.0,,,5.122,,0.0,0.037,187.652,0.733,,,3279.2,193.544
Argentina,1921,ARG,9069751.0,50306035712.0,,,4.565,,0.0,0.048,202.458,0.927,,,3487.198,207.998
Argentina,1922,ARG,9334686.0,54296928256.0,,,5.889,,0.0,0.062,209.368,1.348,,,3703.865,216.667
Argentina,1923,ARG,9613722.0,60309590016.0,,,6.844,,0.0,0.077,214.413,1.525,,,3926.723,222.858
Argentina,1924,ARG,9901098.0,64989057024.0,,,8.753,,0.0,0.128,218.902,2.077,,,4156.584,229.861
Argentina,1925,ARG,10197065.0,64706424832.0,,,8.35,,0.0,0.165,223.02,2.722,,,4390.842,234.257
Argentina,1926,ARG,10501879.0,67810631680.0,,,7.451,,0.0,0.293,224.171,3.515,,,4626.272,235.43
Argentina,1927,ARG,10815805.0,72643125248.0,,,9.258,,0.0,0.26,227.005,3.856,,,4866.65,240.378
Argentina,1928,ARG,11139114.0,77168877568.0,,0.116,8.284,,0.0,0.297,228.958,4.041,,,5108.347,241.697
Argentina,1929,ARG,11443159.0,80691912704.0,,0.174,8.321,,0.0,0.458,229.748,4.177,,,5351.226,242.878
Argentina,1930,ARG,11726853.0,77359685632.0,,0.189,8.119,,0.0,0.454,181.91,4.005,,,5545.904,194.678
Argentina,1931,ARG,11989069.0,71992139776.0,,0.265,6.947,,0.0,0.564,150.371,5.067,,,5709.119,163.215
Argentina,1932,ARG,12228636.0,69624832000.0,,0.247,6.331,,0.0,0.769,132.84,5.752,,,5855.059,145.94
Argentina,1933,ARG,12444339.0,72859959296.0,,0.254,5.959,,0.0,1.034,120.912,5.985,,,5989.203,134.144
Argentina,1934,ARG,12663847.0,78659584000.0,,0.28,6.581,,0.0,1.249,112.366,6.13,,,6115.809,126.606
Argentina,1935,ARG,12887227.0,82125021184.0,,0.356,6.337,,0.0,1.056,105.51,6.249,,,6235.316,119.507
Argentina,1936,ARG,13114548.0,82689359872.0,,0.411,6.987,,0.0,0.912,100.047,6.786,,,6350.458,115.143
Argentina,1937,ARG,13345878.0,88696750080.0,,0.512,8.158,,0.0,0.865,95.549,7.176,,,6462.718,112.26
Argentina,1938,ARG,13581288.0,89082486784.0,,0.614,7.396,,0.0,0.839,92.496,7.498,,,6571.562,108.844
Argentina,1939,ARG,13825464.0,92462211072.0,,0.556,7.764,,0.0,0.887,89.133,8.171,,,6678.073,106.511
Argentina,1940,ARG,14078649.0,93982973952.0,,0.534,5.369,,0.0,0.916,62.659,9.045,,,6756.596,78.523
Argentina,1941,ARG,14341093.0,98812125184.0,,0.578,2.686,,0.0,1.015,46.491,9.662,,,6817.027,60.432
Argentina,1942,ARG,14613051.0,99962904576.0,,0.531,1.385,,0.0,1.154,34.713,10.409,,,6865.22,48.192
Argentina,1943,ARG,14894786.0,99170082816.0,,0.472,1.549,,0.0,1.158,25.428,10.898,,,6904.725,39.505
Argentina,1944,ARG,15181952.0,110433869824.0,,0.534,1.649,,0.0,1.132,17.769,10.637,,,6936.446,31.721
Argentina,1945,ARG,15474655.0,106852769792.0,,0.538,2.045,,0.0,1.041,11.277,10.043,,,6961.389,24.943
Argentina,1946,ARG,15773001.0,116403142656.0,,0.563,3.041,,0.0,0.967,5.634,9.131,,,6980.726,19.336
Argentina,1947,ARG,16077098.0,129321500672.0,,0.673,3.254,,0.0,0.997,0.703,9.591,,,6995.944,15.218
Argentina,1948,ARG,16387059.0,136522203136.0,,0.618,5.815,,0.0,0.766,-3.675,10.193,,,7009.661,13.717
Argentina,1949,ARG,16700599.0,134649167872.0,,0.716,3.598,,0.0,1.136,-7.855,9.915,,,7017.171,7.51
Argentina,1950,ARG,17017748.0,136328019968.0,,0.778,3.561,,0.0,0.0,12.209,25.582,,,7059.301,42.13
Argentina,1951,ARG,17354614.0,141645234176.0,,0.77,5.47,,0.0,1.418,22.549,27.304,,,7116.813,57.512
Argentina,1952,ARG,17693856.0,134416834560.0,,0.767,4.507,,0.0,1.535,30.094,29.286,,,7183.002,66.19
Argentina,1953,ARG,18032748.0,141635207168.0,,0.818,3.114,,0.0,1.194,35.366,30.008,,,7253.503,70.501
Argentina,1954,ARG,18369248.0,147492470784.0,,0.843,3.722,,0.0,1.209,39.178,30.976,,,7329.432,75.928
Argentina,1955,ARG,18700684.0,158009442304.0,,0.923,3.21,,0.0,1.227,42.361,34.2,,,7411.352,81.921
Argentina,1956,ARG,19031200.0,162343223296.0,,1.021,3.814,,0.0,1.304,45.146,38.157,,,7500.794,89.442
Argentina,1957,ARG,19363792.0,170709729280.0,,1.17,3.36,,0.0,1.458,46.989,41.619,,,7595.391,94.597
Argentina,1958,ARG,19695358.0,181174419456.0,,1.221,3.781,,0.0,1.48,48.855,37.71,,,7688.438,93.047
Argentina,1959,ARG,20024528.0,169428729856.0,,1.17,3.73,,0.0,1.473,51.249,42.576,,,7788.636,100.198
Argentina,1960,ARG,20349748.0,182678470656.0,,1.305,3.906,,0.0,2.363,33.703,41.191,,,7871.104,82.468
Argentina,1961,ARG,20680658.0,195762241536.0,,1.436,3.539,,0.0,4.03,65.649,42.121,,,7987.88,116.776
Argentina,1962,ARG,21020364.0,192596967424.0,,1.446,2.008,,0.0,5.108,69.173,45.078,,,8110.694,122.813
Argentina,1963,ARG,21364018.0,187954610176.0,,1.254,2.305,,0.0,5.829,70.895,40.645,,,8231.622,120.928
Argentina,1964,ARG,21708488.0,207332556800.0,,1.439,2.557,,0.0,6.467,77.764,45.207,,,8365.057,133.435
Argentina,1965,ARG,22053662.0,226284879872.0,328.528,1.632,2.601,,0.0,7.247,131.962,47.324,,,8555.823,190.767
Argentina,1966,ARG,22403120.0,227834527744.0,339.175,1.723,2.587,,2.345,7.848,130.3,48.57,,,8749.196,193.373
Argentina,1967,ARG,22757014.0,233929080832.0,349.032,1.756,2.939,,2.796,8.208,189.06,49.777,,,9003.732,254.536
Argentina,1968,ARG,23112976.0,243886489600.0,360.844,2.064,2.367,,2.876,9.142,265.701,52.56,,,9338.442,334.71
Argentina,1969,ARG,23472030.0,264721498112.0,372.911,2.148,2.59,,2.832,9.105,173.337,60.573,,,9589.027,250.586
Argentina,1970,ARG,23842804.0,278897360896.0,353.487,2.344,3.287,,2.81,10.281,117.411,63.926,,,9789.088,200.059
Argentina,1971,ARG,24223380.0,292438867968.0,374.742,2.736,2.928,,2.843,11.021,88.616,69.319,,,9966.551,177.463
Argentina,1972,ARG,24612798.0,301570129920.0,379.448,2.699,2.858,,2.744,12.469,71.869,69.297,,,10128.486,161.936
Argentina,1973,ARG,25020592.0,319937937408.0,396.458,2.57,2.88,,3.129,14.187,60.286,71.21,,,10282.749,154.262
Argentina,1974,ARG,25449752.0,340686405632.0,412.278,2.675,3.367,,3.063,14.923,53.055,71.452,,,10431.284,148.536
Argentina,1975,ARG,25875562.0,337656020992.0,402.571,2.714,3.594,,3.902,15.722,46.894,68.913,,,10573.023,141.739
Argentina,1976,ARG,26290258.0,336841146368.0,422.714,2.841,3.239,,5.284,16.467,41.43,71.868,,,10714.153,141.13
Argentina,1977,ARG,26713780.0,357157961728.0,441.458,2.987,2.704,,5.408,16.905,38.045,72.702,,,10852.904,138.751
Argentina,1978,ARG,27146124.0,341466742784.0,442.127,3.148,3.833,,6.251,16.426,34.141,72.899,,,10989.601,136.697
Argentina,1979,ARG,27584138.0,365906427904.0,474.656,3.327,3.602,,6.599,18.016,31.468,79.073,,,11131.685,142.084
Argentina,1980,ARG,28024808.0,371076956160.0,472.019,3.562,2.865,,6.156,19.566,29.848,76.508,,,11270.189,138.505
Argentina,1981,ARG,28471284.0,349782016000.0,457.964,3.323,2.957,,5.144,20.485,98.483,70.059,,,11470.642,200.451
Argentina,1982,ARG,28922768.0,338761515008.0,466.513,2.815,2.66,,5.595,23.249,61.496,69.032,,,11635.487,164.847
Argentina,1983,ARG,29377144.0,350706597888.0,485.764,2.818,2.191,,5.196,26.264,47.38,68.674,,,11788.01,152.522
Argentina,1984,ARG,29832200.0,357844353024.0,487.344,2.618,2.147,,7.149,27.301,38.943,67.237,,,11933.404,145.395
Argentina,1985,ARG,30287120.0,334171439104.0,481.619,2.325,2.774,,6.188,28.809,34.08,60.435,,,12068.016,134.612
Argentina,1986,ARG,30748332.0,358634684416.0,508.885,2.789,3.393,,4.804,30.964,25.04,62.2,,,12197.206,129.19
Argentina,1987,ARG,31216450.0,367893610496.0,531.837,3.169,3.778,,4.778,36.699,13.627,66.454,,,12325.71,128.504
