year,country_index,population,gdp,temperature_change_from_co2,cement_co2_lag_1,coal_co2_lag_1,flaring_co2_lag_1,gas_co2_lag_1,land_use_change_co2_lag_1,oil_co2_lag_1,cement_co2_diff_lag1_lag2,coal_co2_diff_lag1_lag2,flaring_co2_diff_lag1_lag2,gas_co2_diff_lag1_lag2,land_use_change_co2_diff_lag1_lag2,oil_co2_diff_lag1_lag2,co2_including_luc
1930,Argentina,0.007213131031450519,0.007273971008106973,0.026143790849673203,0.00037014424989416855,0.0016963028710960675,0.0,0.00038983401412424814,0.1900367123619125,0.0016544520286148508,0.0839317078210559,0.45089450507656786,0.38376263890956835,0.4836310228834035,0.3948860983643119,0.5027971648154684,0.05079445974227846
1931,Argentina,0.007411884514451515,0.006755676858541157,0.026143790849673203,0.0004020532369540107,0.0016551235440967398,0.0,0.00038642935024543377,0.17061565774319046,0.0015863252034001621,0.08337638185762992,0.45067171775549686,0.38376263890956835,0.48276243268425945,0.36221936049022946,0.5021997121364363,0.046616573102526
1932,Argentina,0.007593470594866515,0.006527087890055507,0.026143790849673203,0.0005637254380572108,0.0014162019042788584,0.0,0.00048005760691282955,0.15781159733891198,0.0020069687404815537,0.08416416985225747,0.44976751816788646,0.38376263890956835,0.4833625495491226,0.3731685083188399,0.5045934024154156,0.044322672593937386
1933,Argentina,0.007756968331632251,0.006839474145450635,0.026143790849673203,0.0005254346535854002,0.0012906253427363542,0.0,0.0006545466307020673,0.15069444134324292,0.002278287782760982,0.08295020146709371,0.45028580164284665,0.38376263890956835,0.48386264693650854,0.38257863549125387,0.503862104818029,0.042756313670677684
1934,Argentina,0.007923350167777194,0.007399490144270745,0.026143790849673203,0.0005403255142133266,0.0012147901464801664,0.0,0.0008801056126735209,0.14585196591592328,0.002370575865755299,0.08327306539931811,0.45051324978653423,0.38376263890956835,0.4841784979180155,0.3863425520066048,0.502985323613735,0.04175536304643798
1935,Argentina,0.008092666887705659,0.0077341152907233444,0.026143790849673203,0.0005956344251170529,0.0013415898563493836,0.0,0.0010631062961597947,0.14238249953414314,0.0024280083637560537,0.08351844198780867,0.45143982132270405,0.38376263890956835,0.4839152887667597,0.38861447163089835,0.5028146228482973,0.04081270604438469
1936,Argentina,0.008264970791774327,0.007788608246761548,0.026143790849673203,0.0007573066262202529,0.001291848491063067,0.0,0.0008988312640070001,0.13959913169966096,0.0024751426207359835,0.08416416985225747,0.45063256684551783,0.38376263890956835,0.4817675020925126,0.3897497596749717,0.5027641885312362,0.04023322229217162
1937,Argentina,0.008440313422363689,0.008368686234448398,0.026143790849673203,0.0008743062454396739,0.0014243562264569431,0.0,0.0007762633643696819,0.13738128769735988,0.002687840906435331,0.08389296414918897,0.45146592192935675,0.38376263890956835,0.4820254470607433,0.39068553260124045,0.5035750171670654,0.0398503965227788
1938,Argentina,0.008618748595782797,0.008405933252418915,0.032679738562091505,0.001089160091642611,0.0016630740082203721,0.0,0.0007362585637936128,0.13555521002532067,0.0028423145217477065,0.08448703378448187,0.4519515796460011,0.38376263890956835,0.4825360728141795,0.3913337887920871,0.5032898692975274,0.03939679512553777
1939,Argentina,0.00880382818842875,0.008732281899009015,0.032679738562091505,0.0013061412036495374,0.0015077341707278589,0.0,0.0007141282485813191,0.1343157669099948,0.0029698542759286936,0.08449994834177085,0.45014970562244344,0.38376263890956835,0.4826466206577069,0.3923044936581735,0.5031579641605982,0.039087002367995824
1940,Argentina,0.008995736388514202,0.008879127873822584,0.032679738562091505,0.001182759787018148,0.0015827539347662383,0.0,0.0007549842151270919,0.13295047139841903,0.003236420283890818,0.08243361917553467,0.4512030515337834,0.38376263890956835,0.4830361702015654,0.39209624555541445,0.5038388274409238,0.03537055157584658
1941,Argentina,0.009194662690085096,0.009345434245125649,0.032679738562091505,0.0011359599393303795,0.0010945138943534174,0.0,0.0007796680282484963,0.12220267675867558,0.003582599616667782,0.08289854323793781,0.4486274809558787,0.38376263890956835,0.48293615072408824,0.3765710136106929,0.504228723507435,0.03296829663513013
1942,Argentina,0.009400800377068289,0.009456554344015496,0.032679738562091505,0.0012295596347059162,0.0005475627342583869,0.0,0.0008639334592491524,0.11563886533103442,0.0038269847978158224,0.08375090401901024,0.4483590175731655,0.38376263890956835,0.48330464353584635,0.38349425537532017,0.5037301996810998,0.031342980153212636
