country,cumulative_co2_including_luc,co2_cumulative_percentage
East Timor,103.378,0.0038426542779405517
Fiji,96.668,0.003593237475477928
Vanuatu,90.915,0.003379393233366531
Gambia,74.836,0.002781722180192682
Palestine,69.758,0.002592968301965379
Barbados,62.591,0.0023265643938804874
Maldives,30.999,0.0011522610222859712
Djibouti,26.047,0.000968190678650366
Cape Verde,20.241,0.0007523763783376995
Antigua and Barbuda,16.879,0.0006274077807401823
Andorra,16.678,0.000619936427939141
Saint Lucia,15.543,0.000577747445704405
Samoa,15.449,0.0005742533802153609
Seychelles,15.31,0.0005690866238007104
Comoros,12.787,0.0004753044192383856
Palau,11.208,0.0004166115532043346
Liechtenstein,9.313,0.0003461726797815817
Saint Vincent and the Grenadines,9.119,0.0003389615233467458
Tonga,7.832,0.00029112256287440653
Grenada,5.837,0.00021696659850586197
Nauru,5.02,0.00018659796547874368
Micronesia (country),4.718,0.00017537235082245274
Saint Kitts and Nevis,4.162,0.00015470532516385086
Marshall Islands,3.857,0.00014336819777918615
Dominica,3.55,0.0001319567285756056
Cook Islands,2.625,9.75736373270323e-05
Kiribati,2.214,8.229639353982841e-05
Tuvalu,0.312,1.1597323750870126e-05
Niue,0.305,1.1337127384664708e-05
Sao Tome and Principe,-2.16,-8.028916442910089e-05
Anguilla,,
Antarctica,,
Aruba,,
Bermuda,,
Bonaire Sint Eustatius and Saba,,
British Virgin Islands,,
Christmas Island,,
Curacao,,
Faroe Islands,,
French Polynesia,,
Greenland,,
Hong Kong,,
Kosovo,,
Macao,,
Monaco,,
Montserrat,,
New Caledonia,,
Saint Helena,,
Saint Pierre and Miquelon,,
San Marino,,
Sint Maarten (Dutch part),,
Taiwan,,
Turks and Caicos Islands,,
Vatican,,
Wallis and Futuna,,
