country,co2_including_luc,co2_2021_percentage
Guinea-Bissau,0.55,0.001328005696420071
Djibouti,0.531,0.0012821291359982868
Cape Verde,0.431,0.001040673554831001
Saint Lucia,0.366,0.0008837274270722653
Comoros,0.358,0.0008644109805788824
Andorra,0.358,0.0008644109805788824
Grenada,0.241,0.0005819079506131583
Palau,0.222,0.0005360313901913741
Tonga,0.201,0.0004853257181462441
Saint Vincent and the Grenadines,0.195,0.000470838383276207
Saint Kitts and Nevis,0.159,0.00038391437405598417
Micronesia (country),0.153,0.000369427039185947
Marshall Islands,0.153,0.000369427039185947
Liechtenstein,0.127,0.00030664858808245277
Sao Tome and Principe,0.124,0.0002994049206474341
Samoa,0.085,0.00020523724399219278
Cook Islands,0.069,0.0001666043510054271
Kiribati,0.069,0.0001666043510054271
Nauru,0.054,0.00013038601383033423
Dominica,0.047,0.00011348412314862423
Tuvalu,0.011,2.6560113928401418e-05
Niue,0.008,1.931644649338285e-05
Montenegro,-0.146,-0.000352525148504237
Vanuatu,-0.751,-0.0018133314145663151
Anguilla,,
Antarctica,,
Aruba,,
Bermuda,,
Bonaire Sint Eustatius and Saba,,
British Virgin Islands,,
Christmas Island,,
Curacao,,
Faroe Islands,,
French Polynesia,,
Greenland,,
Hong Kong,,
Kosovo,,
Macao,,
Monaco,,
Montserrat,,
New Caledonia,,
Saint Helena,,
Saint Pierre and Miquelon,,
San Marino,,
Sint Maarten (Dutch part),,
Taiwan,,
Turks and Caicos Islands,,
Vatican,,
Wallis and Futuna,,
