year,country_index,population_lag_1,gdp_lag_1,temperature_change_from_co2_lag_1,cement_co2_lag_1,coal_co2_lag_1,flaring_co2_lag_1,gas_co2_lag_1,land_use_change_co2_lag_1,oil_co2_lag_1,co2_including_luc
1958,Australia,9644190.0,12986.428141295433,4.147574861134009e-10,1.1903539851454605e-07,5.353067494522609e-06,0.0,0.0,3.5847385835409714e-05,2.354267180551192e-06,4.366341471038793e-05
1959,Australia,9853146.0,13321.461233193946,4.0596171009746533e-10,1.2320937901458072e-07,5.343978461295509e-06,0.0,0.0,3.5753656750848916e-05,2.4425701192289245e-06,4.4540743037506744e-05
1960,Australia,10065683.0,13843.241093922787,3.973898244162865e-10,1.2855560819866868e-07,5.631907939083717e-06,0.0,0.0,3.628775116402931e-05,2.492528326195053e-06,4.161841641708747e-05
1961,Australia,10286648.0,14114.65791694243,4.860669870301774e-10,1.3425170181773498e-07,5.728591082342858e-06,0.0,0.0,3.311768809431411e-05,2.637885538612773e-06,3.9845363670456903e-05
1962,Australia,10505940.0,13914.931446400798,4.759212407457115e-10,1.345905268828872e-07,5.376006335463556e-06,0.0,0.0,3.156347742324818e-05,2.771289384862278e-06,2.981858660002205e-05
1963,Australia,10711943.0,14500.524370602046,4.667687272047658e-10,1.3536293088938206e-07,5.374468478781114e-06,0.0,3.734149817638126e-10,2.133189095573044e-05,2.9764908196393503e-06,3.2405128081589563e-05
1964,Australia,10917377.0,15098.426417993993,4.5798546665558954e-10,1.4115112082325269e-07,5.384901519843091e-06,0.0,6.411796533178253e-10,2.3612173510175568e-05,3.2661691540010023e-06,3.444192429341745e-05
1965,Australia,11131608.0,15821.268083461078,4.491714045266416e-10,1.6098303138234836e-07,5.551938228511101e-06,0.0,6.288399663372983e-10,2.5140123511356134e-05,3.588340516482435e-06,3.779921584176406e-05
1966,Australia,11359442.0,16295.88119275577,4.401624657267496e-10,1.6541305462011251e-07,5.617529452591069e-06,0.0,6.162274520174494e-10,2.7798284457986582e-05,4.217372649114278e-06,3.217643900135215e-05
1967,Australia,11592675.0,16411.878879033527,4.3130683815426554e-10,1.5673690498526007e-07,5.772351937753797e-06,0.0,6.038295734159717e-10,2.219289335722773e-05,4.053766710444311e-06,4.84031232148322e-05
1968,Australia,11809114.0,17199.48633843318,4.234017894991953e-10,1.6004587643069582e-07,5.8040764108128685e-06,0.0,5.927625052988734e-10,3.8048409050839884e-05,4.389999114243456e-06,3.0594978011631566e-05
1969,Australia,12027268.0,17879.912915218985,4.988664092294277e-10,1.6138328338571986e-07,5.8912797153933875e-06,0.0,9.145884169206173e-10,1.9888639714355744e-05,4.652760710079795e-06,2.2883026414878417e-05
1970,Australia,12268351.0,18594.780459085334,4.890632816097289e-10,1.7361746497145378e-07,5.89052269534838e-06,0.0,3.9695636357323e-08,1.1763846665293487e-05,5.0153439529077706e-06,1.850943204776357e-05
1971,Australia,12595038.0,19265.097219397034,4.763780784146899e-10,1.768950597846549e-07,5.928842771256427e-06,0.0,2.1873693433874513e-07,6.7698088723511595e-06,5.4151484100325855e-06,1.7998147891188722e-05
1972,Australia,12993837.0,19504.612397400397,4.617573700516637e-10,1.7808442571659165e-07,5.5986541927530726e-06,0.0,3.1553420286863686e-07,6.36832676906752e-06,5.537548300782902e-06,1.2824278876318681e-05
1973,Australia,13300319.0,19588.676651740458,4.5111699952459786e-10,1.8315350180698673e-07,5.563776327470041e-06,0.0,4.3938795753695835e-07,1.2758340608221503e-06,5.362127028682545e-06,1.3645057416690704e-05
1974,Australia,13513318.0,20325.095247222038,4.440064238849408e-10,1.9173677404764695e-07,5.848304613271145e-06,0.0,4.798969431489735e-07,1.0542192524441444e-06,6.070825832708148e-06,1.0967162610096758e-05
1975,Australia,13713392.0,20525.495871480958,4.3752851227471656e-10,1.8726220325357868e-07,5.7750846763514084e-06,0.0,5.621512168542983e-07,-1.1511375157947792e-06,5.593802029432251e-06,1.6602883372164993e-05
1976,Australia,13886865.0,20818.448747359464,4.320629602145625e-10,1.780819501017688e-07,6.072644905815676e-06,0.0,6.026558190059455e-07,4.137722948988127e-06,5.611777748253476e-06,1.5247243960319924e-05
1977,Australia,14038078.0,21424.28002237913,4.274089373203369e-10,1.776596482794867e-07,6.026323546570976e-06,0.0,6.595632251081665e-07,3.1513573296857305e-06,5.232340210675564e-06,2.4708376061631615e-05
1978,Australia,14193365.0,21410.565739695976,4.2273273462635536e-10,1.7430679757760053e-07,6.37558464817892e-06,0.0,7.786032417259755e-07,1.1891471825039376e-05,5.488339093653971e-06,2.2262617779806845e-05
1979,Australia,14355814.0,21784.0838918643,4.876073206298159e-10,1.712894859183882e-07,6.499875242184108e-06,0.0,9.614223199046742e-07,8.954281519668616e-06,5.675749212131057e-06,2.134770709799898e-05
