country_order,year,country_index,PC1,PC2,PC3,PC4,PC5
0,1853,Stany Zjednoczone,0.022500132996268744,0.3241850143673598,-0.2619700572805621,-0.10209375588364117,-0.0022465925903129963
0,1854,Stany Zjednoczone,0.03323251744290459,0.3384880169944737,-0.27502300059094525,-0.10625166300654484,-0.0020735482016981228
0,1855,Stany Zjednoczone,0.0407563685901847,0.3461847601006515,-0.28206713536650335,-0.10883539667478623,-0.00159963517237454
0,1856,Stany Zjednoczone,0.04966174956468433,0.35711299043079814,-0.29209592880855184,-0.11214169539365292,-0.0013155522890784834
0,1857,Stany Zjednoczone,0.0547073575521748,0.3647810494452838,-0.2978440307300959,-0.11350221083726288,-0.0009151500252546672
0,1858,Stany Zjednoczone,0.0626565299917304,0.37401893982864653,-0.3064174605282518,-0.1163865854373799,-0.0009249385429770081
0,1859,Stany Zjednoczone,0.06976368888622934,0.38145756486562493,-0.3134305300840913,-0.11886922389527747,-0.000983911486539453
0,1860,Stany Zjednoczone,0.08046527071494128,0.39467802935205903,-0.3253951171391675,-0.12274099942408273,-0.0006527335493909445
0,1861,Stany Zjednoczone,0.08053319974091286,0.386860061010156,-0.31839628854199,-0.12152002510283579,0.00014088418157563433
0,1862,Stany Zjednoczone,0.06312113144358918,0.3441810587183872,-0.2803429612659042,-0.11217954309075588,0.0013377871198950596
0,1863,Stany Zjednoczone,0.05589742594226759,0.32248273305485264,-0.26127686919770926,-0.10785442549756467,0.0018565645683907464
0,1864,Stany Zjednoczone,0.055908684164052466,0.31772727129175804,-0.2555625560209806,-0.10634173140535963,0.0031995840713700254
0,1865,Stany Zjednoczone,0.056277337153103485,0.3092967215460979,-0.24770905688691958,-0.10506307658896924,0.004807189550444325
0,1866,Stany Zjednoczone,0.05269398967811174,0.29580837243727054,-0.2358925550076433,-0.10255401443926976,0.005299726566307384
0,1867,Stany Zjednoczone,0.051270069194450554,0.2868477177083499,-0.2283390820538255,-0.10115778794304883,0.005372778507613846
0,1868,Stany Zjednoczone,0.054931699474081615,0.2853155076525012,-0.22678448073422644,-0.10150938419206235,0.0066787746424416625
0,1869,Stany Zjednoczone,0.05530614554140638,0.28057069391942174,-0.22056818014451107,-0.09988686493092606,0.009050874807361565
0,1870,Stany Zjednoczone,0.057289540337632526,0.27492796681233056,-0.21496214660457813,-0.09921295530861551,0.011109542649615755
0,1871,Stany Zjednoczone,0.08423465538376836,0.3185401575298579,-0.2539750002306795,-0.11059450801921286,0.011881206519029044
0,1872,Stany Zjednoczone,0.1397305929545297,0.42559738250853146,-0.35049357324861674,-0.13653414567240812,0.009317102701662923
0,1873,Stany Zjednoczone,0.1687425070387835,0.4741282443343685,-0.3934365919032646,-0.14868397297987343,0.01039805138900294
0,1874,Stany Zjednoczone,0.19017026048906313,0.5047787590183767,-0.41992859171377356,-0.15673018146778958,0.013011687437360702
0,1875,Stany Zjednoczone,0.21076005727979805,0.5333379847452058,-0.44704295282496576,-0.1654811192869386,0.012870203496716049
0,1876,Stany Zjednoczone,0.2243087780684108,0.5553345728035217,-0.4672502333909826,-0.17128876866877202,0.01173246196660235
0,1877,Stany Zjednoczone,0.23635168113523247,0.5733029217661274,-0.4835568247809478,-0.17612047503237382,0.011200841757259739
0,1878,Stany Zjednoczone,0.2514580531577419,0.5904101593048935,-0.5001637784408546,-0.1820656276398703,0.011553971125169081
0,1879,Stany Zjednoczone,0.26667108221694974,0.6107242517281262,-0.5182639031338215,-0.1877368687015499,0.012177697687458317
0,1880,Stany Zjednoczone,0.2840828655727664,0.6322826274423036,-0.5365733331331657,-0.19363115142005702,0.014455527609494846
0,1881,Stany Zjednoczone,0.28963773877311716,0.6197812756926941,-0.524280303874162,-0.1926297083547678,0.020352872295269803
0,1882,Stany Zjednoczone,0.2711339248067425,0.5666547616421593,-0.474996926255363,-0.18087880152016217,0.025388009418853563
0,1883,Stany Zjednoczone,0.2667132476397409,0.5435064297985331,-0.4526852148652601,-0.1760653381946659,0.029555263340581214
0,1884,Stany Zjednoczone,0.27802506173908137,0.5448381890351803,-0.4530851524812394,-0.17811343388240383,0.03443165252222501
0,1885,Stany Zjednoczone,0.2865236107930596,0.5439873932530802,-0.4522858352735847,-0.17957406254067038,0.03761891202845536
0,1886,Stany Zjednoczone,0.28867139940575526,0.5364356457259661,-0.4456921876850765,-0.17876767866371693,0.03824201323195778
0,1887,Stany Zjednoczone,0.2921098122281841,0.5297739473646943,-0.4409920799589997,-0.1787599508598238,0.037260821322264756
0,1888,Stany Zjednoczone,0.3007808964993322,0.5238311635981745,-0.43799041969684277,-0.18050328325417084,0.03737753871700658
0,1889,Stany Zjednoczone,0.31387139547491816,0.5259110861495976,-0.4392077595302388,-0.18277958211045583,0.04132578030565239
0,1890,Stany Zjednoczone,0.3166827423781933,0.5195417331767829,-0.43245174855991675,-0.18196059336172943,0.04392843048140328
0,1891,Stany Zjednoczone,0.32822944829156264,0.5275473422717939,-0.43871934459956535,-0.1851491126346053,0.047634879740076075
0,1892,Stany Zjednoczone,0.3550986676971877,0.5550456047296283,-0.4605534696440872,-0.1932787909663922,0.056700789769738594
0,1893,Stany Zjednoczone,0.36590464487970087,0.5576722661892661,-0.46072304707020867,-0.19504206211501637,0.06314483237907222
0,1894,Stany Zjednoczone,0.37354578963908963,0.5623069090335927,-0.46293701047632113,-0.19627681289381696,0.06673367068418329
0,1895,Stany Zjednoczone,0.38020051653837855,0.5763087054758348,-0.47665408327944553,-0.199772510155716,0.06365172352599908
